V_Values_0,V_Values_20000,V_Values_40000,V_Values_60000,V_Values_80000,V_Values_100000,V_Values_120000,V_Values_140000,V_Values_160000,V_Values_180000,V_Values_200000,V_Values_220000,V_Values_240000,V_Values_260000,V_Values_280000,V_Values_300000,V_Values_320000,V_Values_340000,V_Values_360000,V_Values_380000,V_Values_400000,V_Values_420000,V_Values_440000,V_Values_460000,V_Values_480000
-0.087209046,2.1299307,2.4124908,2.574556,3.151231,3.7187417,3.56986,4.8792763,6.0579047,6.116032,6.512734,7.0345902,7.8415475,7.9365244,7.6897,7.5307627,8.182679,8.418729,9.172372,8.829955,9.716156,8.819433,8.971457,9.268466,9.8418045
-0.15257114,2.1137288,2.3457646,2.6046982,3.2142687,3.649108,3.3489757,4.9981165,6.0588875,6.041274,6.5490046,6.8859477,7.8504105,7.8404326,7.6041174,7.4436646,8.191982,8.524568,9.188906,8.880818,9.671122,8.849939,8.895047,9.278027,9.856281
-0.21427253,2.1287093,2.4140341,2.5691974,3.1704366,3.7103913,3.531648,4.8603144,6.070129,6.1135855,6.5251102,7.010623,7.8498964,7.9224496,7.6463523,7.537793,8.188623,8.462966,9.177576,8.860961,9.69937,8.838887,8.948514,9.271971,9.85426
-0.2709573,2.1113217,2.3522918,2.6067276,3.2247646,3.630201,3.584529,4.985672,5.98889,6.017708,6.550706,6.8351264,7.8444405,7.8026996,7.625376,7.4408956,8.192921,8.554426,9.177404,8.903239,9.643946,8.859818,8.8590555,9.273711,9.86069
-0.32175732,2.1285625,2.414983,2.566123,3.1936848,3.6985748,3.5186155,4.836845,6.0626,6.106281,6.5350533,6.974414,7.8555818,7.8972735,7.661386,7.5417266,8.192001,8.4940195,9.175032,8.881575,9.67682,8.853045,8.916795,9.272197,9.862283
-0.2654201,2.1084256,2.3570206,2.6089122,3.2356663,3.6053016,3.5808809,4.9691367,5.9694557,6.089405,6.54919,7.064259,7.8332677,7.934971,7.627275,7.43503,8.192509,8.5751705,9.157067,8.917985,9.608337,8.865439,8.967483,9.266109,9.861051
-0.31646457,2.1294212,2.4155388,2.565338,3.2202103,3.682156,3.5061018,4.8077025,6.0522933,6.1116858,6.5424404,6.988785,7.857231,7.9020305,7.6705413,7.5428386,8.193661,8.5152645,9.163861,8.894584,9.646289,8.863108,8.939042,9.269542,9.8667145
-0.2598623,2.1049244,2.3602314,2.6114502,3.2457702,3.5730116,3.5771832,4.947482,5.9454226,6.077636,6.543926,7.073275,7.8057394,7.9342833,7.625785,7.4259515,8.191337,8.589193,9.12505,8.927182,9.676751,8.8674965,8.9828,9.255096,9.8576765
-0.31072494,2.131191,2.415833,2.5667696,3.2489297,3.6596215,3.4937792,4.771393,6.0383816,6.114118,6.5468526,6.9997106,7.860752,7.903732,7.675418,7.5411563,8.194184,8.528992,9.166208,8.901768,9.667826,8.869774,8.955705,9.263903,9.8678465
-0.25417548,2.1006446,2.3621218,2.6144264,3.2533941,3.5315003,3.573439,4.919321,5.915541,6.0606833,6.53402,7.080278,7.7992187,7.932253,7.6220393,7.4132786,8.189801,8.598093,9.11569,8.932167,9.690448,8.866246,8.993555,9.240038,9.850352
-0.30441406,2.133741,2.4159453,2.570305,3.2782824,3.6289783,3.4812603,4.7260065,6.019723,6.112822,6.547509,7.007919,7.8616476,7.903158,7.677152,7.536459,8.19397,8.5366955,9.165135,8.90418,9.683586,8.873318,8.968559,9.254691,9.865464
-0.24815442,1.9889947,2.3628197,2.6178467,3.2561944,3.478408,3.5695856,4.882803,5.8781323,6.03714,6.518113,7.0857887,7.790359,7.929427,7.6168203,7.396334,8.188167,8.602887,9.103055,8.933667,9.699808,8.861549,9.001001,9.219707,9.838312
-0.29732284,2.138621,2.4159153,2.5758095,3.306017,3.587627,3.4680932,4.669096,5.994755,6.1066184,6.543162,7.013916,7.8602166,7.9007816,7.6765413,7.5282497,8.193288,8.539266,9.161147,8.902282,9.695318,8.873631,8.9787655,9.240743,9.858816
-0.24151927,1.9958056,2.3623962,2.6216538,3.2111542,3.4107518,3.5654852,4.835473,5.830939,6.005026,6.499944,7.0901628,7.779119,7.926114,7.6106567,7.3740897,8.186598,8.604134,9.087159,8.931926,9.706151,8.852848,9.0058775,9.24429,9.82015
,2.142085,2.4157515,2.5831404,3.295863,3.5322096,3.4537432,4.597539,5.961344,6.0937743,6.5439878,7.0180283,7.8565354,7.896829,7.674141,7.515698,8.192315,8.5371065,9.154325,8.896048,9.704238,8.870189,8.987013,9.258266,9.846508
,1.9989845,2.3608701,2.6257427,3.1877089,3.3248298,3.5609143,4.7740936,5.7709336,6.0809283,6.4915705,7.093628,7.7652392,7.9224324,7.6039004,7.3450704,8.185203,8.601998,9.067584,8.926735,9.710383,8.839112,9.00852,9.253478,9.855768
,2.1442695,2.4154327,2.5921457,3.2808247,3.4584622,3.4375694,4.507383,5.9165726,6.1017003,6.543253,7.020435,7.8504734,7.891323,7.670331,7.4975514,8.191161,8.530189,9.144356,8.884959,9.711205,8.861991,8.993615,9.270456,9.859392
,1.9986578,2.3582113,2.629958,3.1551852,3.5574126,3.5555315,4.6944346,5.694043,6.0747733,6.48123,7.0963006,7.7482433,7.918337,7.5967765,7.3072147,8.184037,8.59629,9.043445,8.917432,9.71312,8.818707,9.008896,9.257958,9.860999
,2.1451871,2.4149098,2.6026628,3.2592063,3.4678004,3.4187832,4.393716,5.856441,6.107771,6.540887,7.0211864,7.84169,7.884088,7.665358,7.472002,8.189893,8.518056,9.1304865,8.867968,9.71681,8.847417,8.998537,9.27829,9.867643
,1.9947795,2.354339,2.6340878,3.1115553,3.5657709,3.5488386,4.5910707,5.9751186,6.0651298,6.4685907,7.0982013,7.727412,7.913619,7.5894175,7.257676,8.183129,8.586435,9.013306,8.90283,9.714759,8.789171,9.006603,9.25827,9.862222
,2.144731,2.414103,2.6145043,3.2286758,3.4806828,3.3963976,4.2506204,5.873671,6.111496,6.536665,7.0202036,7.829616,7.874747,7.6593704,7.436488,8.188534,8.499785,9.11144,8.843382,9.721459,8.824003,9.001385,9.282251,9.872206
