V_Values_0,V_Values_20000,V_Values_40000,V_Values_60000,V_Values_80000,V_Values_100000,V_Values_120000,V_Values_140000,V_Values_160000,V_Values_180000,V_Values_200000,V_Values_220000,V_Values_240000,V_Values_260000,V_Values_280000,V_Values_300000,V_Values_320000,V_Values_340000,V_Values_360000,V_Values_380000,V_Values_400000,V_Values_420000,V_Values_440000,V_Values_460000,V_Values_480000
0.148751,1.8435243,2.4172835,3.0213528,2.9480984,3.7598977,3.5043406,3.7243176,4.5126734,4.784164,5.501152,5.5314345,6.7611103,6.4097047,7.42357,7.8112473,7.540989,8.766288,8.807125,8.980683,9.864463,9.338405,8.887557,9.168928,8.93207
0.13843149,1.7602738,2.294891,3.0331616,2.9340138,3.7532728,3.1659138,3.620799,4.624348,4.7776895,5.411783,5.299722,6.8118305,6.0479794,7.4308243,7.8957195,7.5125365,8.786588,8.983256,8.998693,9.867754,9.41429,8.935197,9.282587,9.013316
0.12988204,1.5029947,2.4083896,3.033167,2.9551666,3.768678,3.4457593,3.7218628,4.4960446,4.8025384,5.4843984,5.4539185,6.7706184,6.304847,7.4389596,7.837061,7.54342,8.774172,8.840984,8.997193,9.863017,9.382771,8.921334,9.2063265,8.962701
0.12452471,1.7273802,2.2507513,3.0322392,2.921366,3.7402468,3.6463454,3.602144,4.61362,4.7622933,5.365953,5.591547,6.8104305,6.5441537,7.4329576,7.908907,7.494834,8.778051,9.001562,9.0047035,9.860652,9.446094,8.9595585,9.307262,9.034015
0.123190075,1.450232,2.39084,3.0448906,2.961407,3.7748024,3.4603336,3.7155852,4.4718804,4.80982,5.457843,5.4735,6.7782807,6.3438654,7.451118,7.85714,7.5404606,8.777887,8.863675,9.012098,9.859943,9.416928,8.948539,9.236287,8.988291
0.12611166,1.6836576,2.4069986,3.0283005,2.9027448,3.6794672,3.6531553,3.576363,4.596274,4.7297225,5.304432,5.603596,6.807045,6.570283,7.4317727,7.9181232,7.5136776,8.70635,9.013116,8.960348,9.851757,9.470706,8.979422,9.3272295,9.051259
0.13304417,1.8063924,2.3746908,3.0555758,2.9649198,3.7717137,3.4775443,3.7040315,4.4385967,4.8009276,5.417357,5.4915943,6.784207,6.3733025,7.4602532,7.872917,7.5498657,8.77579,8.877675,9.002748,9.855289,9.44323,8.970678,9.26073,9.010162
0.14343202,1.6399292,2.4117954,3.0200582,2.8839686,3.657064,3.6605566,3.5416174,4.57078,4.799955,5.4649844,5.614266,6.8014927,6.5894523,7.427107,7.9243536,7.5038486,8.686295,9.01948,8.940665,9.840837,9.489735,8.995842,9.343676,9.065876
,1.7854403,2.3540437,3.0639086,2.9654498,3.7637422,3.4970517,3.6852176,4.394073,4.8018703,5.445783,5.5086064,6.7883205,6.3947654,7.4662876,7.885446,7.553204,8.768714,8.884567,8.990741,9.848864,9.463372,8.988865,9.281029,9.029257
,1.5863129,2.4126434,3.0057757,2.8703284,3.625064,3.6680553,3.4955044,4.5350013,4.7930827,5.4741936,5.6238217,6.793397,6.602912,7.4184923,7.928285,7.488512,8.788939,9.021612,8.918646,9.827395,9.504369,9.009604,9.357461,9.078431
,1.7547067,2.328043,3.06808,2.963058,3.7485135,3.5184495,3.656484,4.335516,4.8025036,5.4718676,5.524848,6.790346,6.40943,7.4688354,7.8955035,7.5511355,8.777224,8.88526,8.9763365,9.840232,9.478604,9.003932,9.298197,9.046242
,1.5208173,2.4090219,3.0219307,2.849688,3.7642734,3.6750228,3.4349642,4.486027,4.7846456,5.478513,5.6324387,6.782162,6.611554,7.4051285,7.9303865,7.4675727,8.688163,9.020009,8.894115,9.810643,9.515494,9.021298,9.3692255,9.089281
,1.7110897,2.29538,3.065297,2.9562938,3.7566197,3.5412192,3.6143198,4.259317,4.802527,5.4946303,5.540558,6.7897735,6.4181232,7.4671526,7.903654,7.5437813,8.770278,8.880113,8.959485,9.828681,9.489841,9.016497,9.312997,9.0615635
,1.4414929,2.3999221,3.0196502,2.8202415,3.7588947,3.680636,3.3562071,4.4199667,4.7741218,5.476382,5.640205,6.7669315,6.615982,7.385829,7.930954,7.440402,8.78994,9.014767,8.866597,9.832442,9.523763,9.031365,9.3794565,9.098618
,1.6508194,2.2542293,3.0628412,2.9431262,3.7645707,3.5646625,3.5541897,4.1609,4.8015146,5.512541,5.555899,6.785801,6.421388,7.46007,7.910295,7.530762,8.778709,8.868997,8.939873,9.843473,9.497746,9.027023,9.326021,9.075495
,1.7600433,2.3837352,3.0160358,2.9378672,3.7502468,3.6837971,3.6916142,4.3317356,4.760809,5.465567,5.647123,6.7465243,6.6165667,7.3589544,7.930139,7.405815,8.690373,9.00561,8.835311,9.840679,9.529641,9.040132,9.388529,9.106477
,1.5841477,2.2021627,3.0606275,2.948132,3.7714276,3.5878124,3.566993,4.0346594,4.7988706,5.5233474,5.570959,6.777263,6.4195175,7.445893,7.9156876,7.5111737,8.771973,8.851288,8.916922,9.854632,9.502771,9.035843,9.337733,9.08814
,1.7264011,2.3580866,3.01101,2.9289687,3.7369497,3.683028,3.6980844,4.214888,4.7437706,5.4429646,5.6531034,6.7193613,6.61347,7.3223414,7.9279714,7.361984,8.664756,8.991869,8.799149,9.845718,9.533443,9.04783,9.396739,9.112726
,1.5009675,2.1360686,3.0585074,2.9537685,3.7759311,3.609315,3.5816367,3.8740726,4.7937646,5.52384,5.5857415,6.7625265,6.412587,7.422299,7.9199667,7.483508,8.759807,8.825801,8.889765,9.862691,9.505207,9.043192,9.348505,9.099413
,1.6728199,2.3196256,3.0043888,2.9164286,3.7171574,3.676324,3.7047796,4.061646,4.721755,5.5100274,5.657945,6.683363,6.6066694,7.2732325,7.9243526,7.30627,8.796507,8.972396,8.756579,9.847816,9.535356,9.054623,9.404314,9.117039
,1.3997488,2.0521257,3.056265,2.9588068,3.776366,3.6272604,3.5979474,3.672212,4.7850485,5.524103,5.6001434,6.739368,6.400458,7.386235,7.9231462,7.445505,8.772482,8.790664,8.857175,9.867938,9.505189,9.049226,9.358632,9.109017
,1.5948709,2.2637932,2.9958763,2.8984728,3.7108603,3.6609633,3.7113729,3.86338,4.6930966,5.4934793,5.6613135,6.6358447,6.5959487,7.464349,7.919055,7.528478,8.792539,8.9454365,8.930525,9.846998,9.535438,9.060608,9.411433,9.118833
,1.2801794,1.9459292,3.053607,2.9615667,3.7780786,3.6389642,3.6156998,4.090617,4.771139,5.521523,5.613932,6.704825,6.3827777,7.398831,7.925106,7.4676833,8.780731,8.743101,8.886164,9.870427,9.502721,9.054025,9.3683605,9.116377
,,2.1846457,2.9850488,2.8727188,3.6953073,3.489647,3.7174218,3.8299644,4.6555777,5.470927,5.6627007,6.732212,6.580898,7.469269,7.9116945,7.5361195,8.783542,8.908397,8.948543,9.843039,9.533645,9.065832,9.418233,9.117186
,,2.3271763,3.050143,2.959733,3.7764478,3.6403291,3.634582,4.058448,4.7498665,5.5146646,5.6266956,6.724915,6.3589673,7.4083285,7.925566,7.486647,8.784378,9.034855,8.91207,9.869964,9.49767,9.057604,9.377884,9.12054
,,2.1064155,2.971326,2.90844,3.6719203,3.4784842,3.7223275,3.779828,4.6062613,5.4402146,5.6613736,6.73872,6.5608797,7.4723983,7.9016995,7.5411754,8.714223,8.936515,8.964126,9.835429,9.529816,9.070288,9.4248085,9.110694
