Episodic reward,Step
16.0,90
19.0,108
20.0,114
31.0,180
40.0,354
33.0,378
46.0,384
67.0,396
53.0,408
70.0,414
14.0,468
9.0,468
16.0,504
24.0,522
30.0,534
15.0,558
17.0,570
13.0,612
17.0,624
43.0,654
16.0,654
17.0,672
13.0,690
33.0,702
13.0,732
13.0,768
26.0,780
22.0,786
20.0,792
15.0,822
11.0,846
19.0,882
31.0,888
18.0,894
12.0,918
25.0,942
12.0,954
12.0,966
28.0,990
12.0,1014
16.0,1062
20.0,1074
37.0,1110
24.0,1134
19.0,1176
17.0,1176
54.0,1242
38.0,1242
14.0,1260
23.0,1272
19.0,1290
31.0,1296
10.0,1302
13.0,1320
16.0,1356
22.0,1404
29.0,1470
12.0,1476
33.0,1488
23.0,1494
32.0,1494
10.0,1554
12.0,1560
14.0,1560
22.0,1602
23.0,1632
15.0,1650
26.0,1716
12.0,1722
17.0,1734
25.0,1752
35.0,1764
14.0,1836
21.0,1842
92.0,1872
20.0,1956
20.0,1962
40.0,1962
38.0,1992
26.0,2028
18.0,2064
55.0,2064
17.0,2064
18.0,2100
25.0,2112
10.0,2124
21.0,2154
11.0,2178
13.0,2202
23.0,2202
31.0,2250
25.0,2250
14.0,2262
22.0,2286
14.0,2334
18.0,2370
30.0,2382
18.0,2394
17.0,2472
39.0,2484
48.0,2490
20.0,2502
32.0,2526
10.0,2532
11.0,2550
14.0,2574
32.0,2586
17.0,2604
14.0,2616
11.0,2640
17.0,2652
11.0,2682
20.0,2706
21.0,2730
13.0,2730
13.0,2784
26.0,2796
20.0,2802
15.0,2820
58.0,2874
12.0,2892
11.0,2940
29.0,2970
33.0,3000
40.0,3024
14.0,3024
51.0,3036
26.0,3048
19.0,3084
13.0,3102
13.0,3126
18.0,3132
12.0,3198
35.0,3210
20.0,3252
25.0,3252
30.0,3264
11.0,3318
11.0,3330
51.0,3342
15.0,3342
11.0,3384
39.0,3432
22.0,3462
24.0,3486
21.0,3510
39.0,3576
23.0,3600
29.0,3606
31.0,3672
20.0,3696
86.0,3726
21.0,3726
45.0,3780
30.0,3786
13.0,3804
23.0,3834
14.0,3870
16.0,3900
17.0,3936
48.0,3960
42.0,4032
22.0,4032
33.0,4068
24.0,4080
25.0,4110
68.0,4134
18.0,4176
21.0,4206
30.0,4212
18.0,4284
27.0,4296
47.0,4314
42.0,4362
10.0,4374
18.0,4404
24.0,4428
11.0,4470
18.0,4482
53.0,4524
30.0,4542
20.0,4548
17.0,4572
62.0,4584
16.0,4638
23.0,4686
12.0,4710
23.0,4710
9.0,4740
28.0,4752
41.0,4770
54.0,4806
19.0,4824
16.0,4836
29.0,4884
11.0,4890
18.0,4914
27.0,4932
23.0,4974
20.0,5010
18.0,5022
17.0,5034
18.0,5082
34.0,5088
57.0,5094
19.0,5136
27.0,5172
15.0,5172
19.0,5202
35.0,5244
15.0,5262
13.0,5280
20.0,5292
36.0,5310
16.0,5376
16.0,5388
46.0,5412
28.0,5430
27.0,5472
23.0,5526
20.0,5532
55.0,5574
33.0,5574
22.0,5658
23.0,5670
27.0,5736
32.0,5766
18.0,5766
21.0,5796
62.0,5802
18.0,5844
66.0,5868
19.0,5880
18.0,5904
16.0,5940
29.0,5940
25.0,5952
20.0,5988
24.0,6024
15.0,6030
22.0,6084
34.0,6108
17.0,6132
35.0,6150
25.0,6174
17.0,6210
14.0,6216
12.0,6222
25.0,6234
21.0,6300
56.0,6324
16.0,6330
22.0,6354
32.0,6408
49.0,6504
41.0,6546
14.0,6588
45.0,6600
45.0,6624
53.0,6642
21.0,6672
13.0,6678
48.0,6696
22.0,6720
21.0,6768
13.0,6774
32.0,6816
24.0,6822
12.0,6846
32.0,6864
17.0,6924
29.0,6942
20.0,6984
31.0,7002
49.0,7014
17.0,7044
40.0,7086
15.0,7134
11.0,7152
34.0,7206
34.0,7218
14.0,7236
10.0,7266
25.0,7284
52.0,7296
14.0,7302
70.0,7344
17.0,7404
14.0,7428
31.0,7452
11.0,7470
48.0,7524
13.0,7548
49.0,7578
25.0,7578
24.0,7596
11.0,7614
55.0,7626
13.0,7656
13.0,7656
24.0,7668
14.0,7710
23.0,7806
28.0,7824
11.0,7890
19.0,7920
18.0,7998
20.0,8040
78.0,8064
75.0,8106
82.0,8106
19.0,8154
77.0,8172
25.0,8256
15.0,8262
53.0,8316
36.0,8322
15.0,8346
50.0,8364
22.0,8394
45.0,8424
19.0,8508
33.0,8514
17.0,8526
39.0,8556
35.0,8574
12.0,8586
40.0,8586
19.0,8622
31.0,8712
24.0,8718
25.0,8736
23.0,8760
39.0,8820
45.0,8826
16.0,8832
29.0,8886
33.0,8916
22.0,8964
32.0,9018
46.0,9036
25.0,9036
32.0,9108
50.0,9120
20.0,9138
30.0,9144
23.0,9174
23.0,9246
25.0,9324
51.0,9342
43.0,9402
48.0,9426
23.0,9480
64.0,9504
17.0,9528
48.0,9534
27.0,9564
16.0,9576
28.0,9696
67.0,9726
31.0,9750
36.0,9792
36.0,9912
34.0,9954
75.0,9954
71.0,9960
29.0,9966
47.0,10008
10.0,10014
17.0,10068
29.0,10086
21.0,10134
26.0,10170
22.0,10200
44.0,10224
20.0,10290
19.0,10314
38.0,10314
63.0,10332
22.0,10356
14.0,10398
45.0,10404
25.0,10440
21.0,10482
35.0,10524
15.0,10530
16.0,10620
27.0,10692
37.0,10704
70.0,10752
60.0,10758
61.0,10770
19.0,10818
22.0,10824
36.0,10836
21.0,10878
19.0,10950
29.0,10992
30.0,11004
46.0,11034
29.0,11052
20.0,11070
66.0,11166
19.0,11184
38.0,11220
34.0,11238
41.0,11298
15.0,11310
71.0,11430
46.0,11442
40.0,11478
61.0,11550
43.0,11556
50.0,11610
31.0,11616
31.0,11628
13.0,11634
35.0,11688
29.0,11724
17.0,11826
32.0,11826
34.0,11832
50.0,11910
58.0,11964
60.0,12048
45.0,12096
53.0,12150
78.0,12294
32.0,12342
52.0,12360
78.0,12378
70.0,12384
52.0,12408
27.0,12456
16.0,12504
36.0,12558
34.0,12564
22.0,12588
41.0,12624
55.0,12714
27.0,12720
27.0,12750
47.0,12846
16.0,12846
70.0,12924
16.0,12942
40.0,12960
62.0,12996
54.0,13038
36.0,13062
40.0,13164
27.0,13200
38.0,13224
14.0,13248
64.0,13344
26.0,13356
62.0,13434
39.0,13458
21.0,13470
39.0,13482
100.0,13542
29.0,13608
23.0,13620
46.0,13632
48.0,13746
47.0,13752
32.0,13824
51.0,13848
46.0,13884
45.0,13890
29.0,13920
35.0,14058
41.0,14070
25.0,14070
57.0,14094
48.0,14172
50.0,14190
37.0,14280
36.0,14286
19.0,14286
18.0,14298
35.0,14304
46.0,14346
16.0,14382
20.0,14406
34.0,14484
15.0,14496
23.0,14520
13.0,14562
42.0,14598
59.0,14652
24.0,14706
44.0,14760
83.0,14802
37.0,14874
14.0,14886
31.0,14892
65.0,14910
25.0,14910
53.0,14916
23.0,15048
40.0,15150
45.0,15162
47.0,15168
50.0,15174
15.0,15240
33.0,15246
61.0,15282
25.0,15312
24.0,15312
13.0,15390
28.0,15408
41.0,15420
28.0,15558
58.0,15594
36.0,15624
56.0,15648
52.0,15732
24.0,15738
13.0,15816
45.0,15828
39.0,15858
32.0,15924
22.0,15960
114.0,15966
22.0,15990
29.0,15990
64.0,16032
38.0,16152
36.0,16176
25.0,16182
34.0,16194
47.0,16248
20.0,16296
27.0,16314
56.0,16326
29.0,16368
34.0,16386
14.0,16398
26.0,16452
21.0,16452
27.0,16560
30.0,16566
19.0,16566
39.0,16602
31.0,16638
68.0,16656
16.0,16662
29.0,16740
25.0,16752
27.0,16800
47.0,16842
34.0,16860
31.0,16938
27.0,17022
63.0,17118
50.0,17142
64.0,17184
43.0,17196
31.0,17208
21.0,17244
24.0,17286
18.0,17292
109.0,17316
22.0,17328
21.0,17334
21.0,17370
30.0,17466
32.0,17526
50.0,17628
30.0,17646
67.0,17694
65.0,17706
72.0,17802
53.0,17844
29.0,17868
54.0,17952
32.0,18060
45.0,18072
44.0,18108
45.0,18222
103.0,18324
21.0,18348
55.0,18402
61.0,18426
19.0,18438
138.0,18474
25.0,18552
22.0,18558
17.0,18660
95.0,18678
60.0,18708
54.0,18762
43.0,18810
59.0,18828
27.0,18840
26.0,18918
18.0,18936
55.0,18990
50.0,19008
35.0,19020
35.0,19050
12.0,19062
40.0,19158
48.0,19224
38.0,19236
48.0,19308
45.0,19320
21.0,19350
14.0,19404
43.0,19416
42.0,19488
21.0,19542
85.0,19572
35.0,19614
47.0,19632
19.0,19656
17.0,19716
71.0,19734
47.0,19854
41.0,19902
33.0,19914
77.0,19950
18.0,19962
22.0,20046
26.0,20106
66.0,20130
91.0,20178
49.0,20196
55.0,20292
41.0,20292
38.0,20334
