V_Values_0,V_Values_20000,V_Values_40000,V_Values_60000,V_Values_80000,V_Values_100000,V_Values_120000,V_Values_140000,V_Values_160000,V_Values_180000,V_Values_200000,V_Values_220000,V_Values_240000,V_Values_260000,V_Values_280000,V_Values_300000,V_Values_320000,V_Values_340000,V_Values_360000,V_Values_380000,V_Values_400000,V_Values_420000,V_Values_440000,V_Values_460000,V_Values_480000,V_Values_500000
-0.0031774268,4.292288,4.5541234,7.083842,7.751177,7.7830057,9.721504,8.694609,10.6761465,8.863026,10.205775,10.123143,9.549208,10.979448,9.916326,10.161613,10.610775,9.522459,9.797845,9.2791395,9.121603,10.03638,9.547713,9.444047,11.050933,10.6679
0.0029333755,3.9341342,4.395714,6.7431602,7.726982,7.8234663,9.726544,8.805373,10.655342,8.852612,10.249056,10.11964,9.552571,10.943967,9.919149,10.155485,10.629927,9.548438,9.796614,9.210582,9.135281,10.030527,9.544822,9.417613,11.052844,10.6689625
0.013000928,4.1545634,4.53018,6.971555,7.7558346,7.786969,9.725079,8.739838,10.673567,8.8564415,10.225451,10.104354,9.545962,10.971816,9.914409,10.158597,10.624037,9.543132,9.799229,9.265774,9.128142,10.032685,9.551058,9.426259,11.048402,10.669803
0.027261157,3.7239175,4.3361597,7.1892524,7.728473,7.823278,9.729468,8.841935,10.653017,8.847055,10.168189,10.102586,9.55022,10.934837,9.917461,10.152248,10.642014,9.566958,9.798067,9.197106,9.140215,10.034021,9.553658,9.449854,11.050287,10.667263
0.045376018,3.964923,4.492002,6.990032,7.760007,7.7835965,9.728161,8.773808,10.669968,8.849244,10.196784,10.087132,9.543367,10.963115,9.913073,10.155486,10.635157,9.561975,9.8008175,9.254172,9.133382,10.030679,9.551403,9.441827,11.046042,10.670501
0.06665433,4.188576,4.255296,7.2026157,7.729233,7.8169346,9.7321,8.869152,10.649844,8.840796,10.138122,10.087117,9.548328,10.92421,9.916313,10.159949,10.652334,9.533852,9.799672,9.1857605,9.143912,10.031923,9.553159,9.415077,11.047929,10.66329
0.0902765,3.8522966,4.4339314,7.0101867,7.763675,7.7732735,9.730732,8.798662,10.665567,8.841382,10.16897,10.071496,9.541205,10.953058,9.912191,10.158707,10.644794,9.543355,9.802652,9.244288,9.137429,10.0284815,9.551003,9.423542,11.04388,10.6633625
0.11544504,4.097699,4.1466722,7.2166123,7.72916,7.8046603,9.73423,8.888724,10.645953,8.833719,10.109149,10.073173,9.546715,10.984191,9.915585,10.163011,10.661463,9.515542,9.801426,9.176372,9.146417,10.02972,9.551876,9.447038,11.045793,10.65439
0.14145754,3.7248907,4.348473,7.032201,7.7667623,7.75583,9.732711,8.815941,10.660458,8.832655,10.141723,10.057315,9.539305,10.9571085,9.911664,10.161691,10.653435,9.526517,9.80475,9.23603,9.140326,10.026174,9.5498495,9.438744,11.041924,10.656525
,3.9908955,4.002371,7.2312775,7.7280846,7.7862644,9.725119,8.9018755,10.641369,8.82561,10.080893,10.0605755,9.545238,10.988294,9.915186,10.165783,10.669823,9.499168,9.803406,9.168757,9.127092,10.027459,9.549744,9.462499,11.043884,10.646048
,3.5778477,4.2260017,7.0562315,7.769115,7.7305,9.732192,8.82673,10.654632,8.822777,10.114685,10.044357,9.537528,10.961402,9.911416,10.164461,10.661436,9.511552,9.801034,9.229291,9.132771,10.023788,9.547861,9.45467,11.040169,10.650126
,3.862932,3.8133006,7.2465706,7.7257457,7.7610755,9.7237835,8.909454,10.636033,8.816177,10.052938,10.049079,9.543787,10.992631,9.91505,10.168294,10.677731,9.4847765,9.800412,9.162754,9.119336,10.025155,9.546613,9.42905,11.042197,10.638394
,3.4053829,4.054779,7.0823874,7.770481,7.6957593,9.730646,8.831765,10.648014,8.811369,10.087457,10.032324,9.535763,10.966012,9.911396,10.1670475,10.669064,9.498459,9.798002,9.223975,9.125805,10.021326,9.54487,9.438885,11.038603,10.644265
,3.7071993,4.297542,7.262353,7.721751,7.7277656,9.721381,8.912016,10.629816,8.805035,10.144266,10.038377,9.54227,10.997254,9.908505,10.170579,10.685411,9.472337,9.798008,9.158233,9.112239,10.022798,9.542228,9.411912,11.040717,10.631527
,3.2009442,4.036345,7.1107016,7.770475,7.649054,9.728408,8.8314905,10.640453,8.797937,10.114349,10.0208435,9.533913,10.970984,9.911737,10.169484,10.676521,9.487188,9.795584,9.220006,9.119399,10.018767,9.540602,9.420196,11.037209,10.638999
,3.5156624,4.284972,7.27834,7.7155194,7.684007,9.718185,8.909873,10.622487,8.791688,10.168644,10.028099,9.540605,11.002203,9.908853,10.163207,10.693041,9.461782,9.796114,9.155102,9.105746,10.020359,9.536199,9.443621,11.03943,10.625501
,2.957744,4.0180235,7.141084,7.768525,7.7153373,9.725683,8.826106,10.631716,8.78185,10.139541,10.00945,9.531884,10.976363,9.912195,10.165899,10.683956,9.477658,9.793688,9.217336,9.113503,10.016071,9.534631,9.435144,11.035967,10.634361
,3.2791831,4.271874,7.2940536,7.70618,7.6935534,9.7143545,8.903121,10.645414,8.775482,10.19098,10.017778,9.538713,11.007504,9.909291,10.159568,10.700745,9.453028,9.794648,9.153308,9.099804,10.017796,9.527928,9.458857,11.038316,10.620343
,2.66998,3.9986455,7.173259,7.7637877,7.7186093,9.722584,8.815586,10.636662,8.762258,10.163313,10.013266,9.529581,10.982184,9.912695,10.162412,10.691481,9.469774,9.792223,9.215945,9.1080675,10.013178,9.526313,9.450844,11.034856,10.630361
,2.9886851,4.2573733,7.3087354,7.7913923,7.694926,9.709935,8.891652,10.652434,8.755546,10.211519,9.987334,9.536511,11.013187,9.916086,10.155983,10.708605,9.445979,9.793533,9.152842,9.094351,10.015044,9.516528,9.424873,11.037354,10.616064
