V_Values_0,V_Values_20000,V_Values_40000,V_Values_60000,V_Values_80000,V_Values_100000,V_Values_120000,V_Values_140000,V_Values_160000,V_Values_180000,V_Values_200000,V_Values_220000,V_Values_240000,V_Values_260000,V_Values_280000,V_Values_300000,V_Values_320000,V_Values_340000,V_Values_360000,V_Values_380000,V_Values_400000,V_Values_420000,V_Values_440000,V_Values_460000,V_Values_480000
,5.384423,7.265779,8.427726,10.745272,10.132001,9.347939,9.886505,8.442281,9.053004,9.711626,11.139966,8.850584,8.453094,9.900365,10.168547,7.3746977,10.143024,9.043956,9.197878,9.243241,9.860879,8.963665,9.799694,9.289317
,5.6265855,7.3257685,8.377939,10.716892,10.082849,9.383715,9.690292,8.428035,9.113467,9.758366,11.127369,8.813897,8.553777,9.890494,10.158558,7.386585,10.409604,9.048758,9.227866,9.245353,9.837348,8.967243,9.765962,9.28151
,5.2081795,7.400767,8.415924,10.758908,10.123581,9.349128,9.881039,8.451423,9.065075,9.697405,11.152453,8.865943,8.441466,9.948741,10.178369,7.427352,10.428725,9.122808,9.328407,9.245415,9.854581,8.966627,9.78308,9.289365
,5.4532075,7.340412,8.365189,10.735557,10.073378,9.384791,9.68552,8.4386425,9.120657,9.742897,11.140988,8.827371,8.541214,9.943591,10.167716,7.445533,10.242846,9.084446,9.2640915,9.248094,9.826123,8.97158,9.749302,9.282141
,5.0019174,7.412674,8.403667,10.770305,10.114812,9.350996,9.876226,8.45945,9.078335,9.685459,11.165613,8.878752,8.429594,10.006711,10.140392,7.4174023,10.393535,9.043757,9.375291,9.249355,9.844829,8.969704,9.758685,9.2899685
,5.243984,7.351828,8.351746,10.751744,10.063178,9.386546,9.681289,8.4483385,9.1253395,9.729144,11.155322,8.838661,8.52841,10.007844,10.146445,7.403717,10.205331,9.04794,9.3071575,9.252243,9.8102045,8.975044,9.724986,9.283401
,4.7641506,7.421799,8.390695,10.700133,10.105433,9.353539,9.871987,8.466693,9.091007,9.67526,11.179311,8.889358,8.417506,10.07442,10.166887,7.3719864,10.365769,9.120608,9.427655,9.256197,9.830065,8.972276,9.720461,9.291299
,4.995825,7.3604484,8.337336,10.740492,10.051882,9.388983,9.677542,8.457392,9.029532,9.716682,11.170165,8.848058,8.515386,10.083443,10.156877,7.359277,10.177816,9.08263,9.358638,9.258818,9.857271,8.977505,9.686628,9.285448
,5.3129063,7.4285383,8.376709,10.68358,10.095132,9.356774,9.868255,8.4317465,9.075621,9.666255,11.193315,8.89806,8.405231,10.150561,10.12967,7.3248034,10.346139,9.185563,9.237655,9.268268,9.839741,8.974102,9.661608,9.293525
,4.961804,7.3665776,8.321653,10.728639,10.039024,9.392125,9.674226,8.431568,9.013472,9.704966,11.185212,8.8558035,8.50216,10.168687,10.13471,7.311186,10.160962,9.137691,9.276377,9.2699795,9.862601,8.978979,9.6272745,9.288434
,5.279713,7.433166,8.36138,10.665176,10.0835,9.360729,9.864977,8.400949,9.061802,9.657872,11.161535,8.9051075,8.392795,10.231744,10.154927,7.276269,10.335361,9.063677,9.178201,9.290415,9.846227,8.975121,9.580308,9.296799
,4.92121,7.370409,8.304355,10.715576,10.023997,9.396008,9.671308,8.40242,8.999529,9.693356,11.173362,8.862102,8.488753,10.259158,10.14585,7.2597275,10.155511,9.088736,9.204553,9.290431,9.86594,8.979522,9.547131,9.292493
,5.23909,7.435855,8.344325,10.643844,10.070004,9.365448,9.86211,8.366515,9.04966,9.649512,11.151433,8.910707,8.380221,10.243747,10.165704,7.295393,10.334185,9.045018,9.296742,9.271523,9.850305,8.975339,9.530239,9.301242
,4.8726115,7.3720446,8.285053,10.70049,10.111288,9.400682,9.6687565,8.369879,8.987692,9.681135,11.163692,8.867119,8.475182,10.2641,10.155995,7.299363,10.162309,9.051633,9.237179,9.273669,9.867889,8.979178,9.530072,9.304805
,5.189482,7.4366903,8.325109,10.74761,10.054822,9.370992,9.859629,8.328549,9.039188,9.640584,11.143356,8.915025,8.367531,10.250822,10.175542,7.337186,10.343382,9.0419855,9.340966,9.26036,9.852529,8.974789,9.494171,9.295873
,4.814422,7.3714976,8.263317,10.721432,10.098178,9.40622,9.666555,8.333948,8.977944,9.667455,11.155861,8.87098,8.461454,10.273922,10.165189,7.346058,10.182308,9.030646,9.276425,9.263083,9.868792,8.977973,9.498833,9.300607
,5.129099,7.435677,8.303234,10.760844,10.043359,9.377437,9.8575115,8.28738,9.030294,9.63058,11.136963,8.918186,8.354739,10.26354,10.184525,7.3844004,10.363745,9.069988,9.391504,9.252806,9.853224,8.973523,9.450562,9.292016
,4.7449055,7.368693,8.238657,10.73965,10.090613,9.412706,9.664696,8.2949505,8.97026,9.577545,11.149586,8.873778,8.447585,10.288877,10.173497,7.399646,10.216539,9.046981,9.324194,9.257779,9.868815,8.9759245,9.459952,9.297739
,5.055907,7.4327316,8.278137,10.681732,10.036345,9.384872,9.855745,8.345013,9.022783,9.589354,11.131978,8.920282,8.34186,10.282052,10.14635,7.36798,10.396043,9.117464,9.212483,9.248484,9.852525,8.971646,9.404171,9.289307
,4.662199,7.363463,8.21054,10.727321,10.088808,9.420246,9.663174,8.334816,8.964579,9.544905,11.144634,8.8755665,8.433577,10.3090105,10.153068,7.3523006,10.266045,9.079985,9.246541,9.257954,9.867998,8.973089,9.418411,9.29589
,4.9676423,7.4276853,8.249194,10.662465,10.034323,9.39341,9.854333,8.377451,9.016313,9.553343,11.128184,8.92137,8.328898,10.306339,10.126044,7.3176327,10.440953,9.180335,9.35489,9.247876,9.850401,8.969367,9.358848,9.287494
,4.5643725,7.355534,8.28066,10.713638,9.989484,9.428966,9.661998,8.36708,8.960758,9.517459,11.1408205,8.876359,8.419433,10.334165,10.131017,7.3010283,10.331749,9.132611,9.290654,9.265103,9.866257,8.969623,9.378863,9.294837
,4.86188,7.420265,8.234654,10.755613,10.038897,9.403178,9.853277,8.403265,9.010313,9.522195,11.125407,8.921462,8.31586,10.336188,10.151225,7.337924,10.498966,9.061233,9.18903,9.252528,9.846664,8.967082,9.319772,9.286399
,4.4495363,7.344506,8.263149,10.732935,9.992144,9.439015,9.661182,8.393408,8.958481,9.493724,11.13799,8.876122,8.40515,10.363937,10.142388,7.347337,10.41426,9.083771,9.218649,9.282755,9.863381,8.965873,9.345437,9.294417
,4.7361655,7.410071,8.226435,10.671456,10.041555,9.414332,9.852597,8.353907,9.003874,9.495024,11.123512,8.92053,8.302744,10.371117,10.162215,7.384074,10.570245,9.043949,9.317872,9.265942,9.840955,8.974539,9.292613,9.285892
,4.316013,7.3298206,8.251281,10.719932,9.992857,9.450577,9.660752,8.357106,8.957086,9.47238,11.136024,8.87477,8.390722,10.397617,10.152754,7.400257,10.513581,9.047925,9.257477,9.317742,9.858993,8.973701,9.204522,9.294517
,4.588262,7.396547,8.224398,10.75936,10.042371,9.427054,9.852317,8.395341,8.995643,9.470823,11.122401,8.918497,8.289541,10.41028,10.1722355,7.3690367,10.65443,9.120464,9.166638,9.295498,9.832739,8.983976,9.233966,9.285871
,4.162576,7.3107123,8.2443695,10.738388,9.991624,9.463866,9.660741,8.385441,8.955352,9.4523535,11.134835,9.021405,8.376135,10.434118,10.162141,7.3524895,10.62874,9.082876,9.1912775,9.254945,9.852488,8.982331,9.14358,9.295054
,4.416512,7.3789234,8.228132,10.680943,10.041367,9.441565,9.852469,8.417772,8.983796,9.448638,11.122002,9.017139,8.276242,10.452369,10.181361,7.31787,10.750403,9.043791,9.278824,9.269619,9.872361,8.992967,9.181255,9.286266
,3.9887435,7.2861447,8.201375,10.726391,9.988382,9.479142,9.661189,8.408718,8.951229,9.432798,11.134351,9.111923,8.361369,10.471956,10.170608,7.3004675,10.757361,9.047193,9.223404,9.2363825,9.863592,8.990789,9.093606,9.295995
,4.220315,7.3561497,8.237408,10.662174,10.0385065,9.45812,9.853099,8.37298,8.883514,9.427584,11.122263,9.099927,8.26283,10.49559,10.143646,7.3357754,10.855946,9.118457,9.323905,9.255262,9.877558,9.001008,9.14009,9.287036
,3.7950537,7.254702,8.207116,10.713075,9.982987,9.496712,9.662149,8.375506,8.922333,9.413054,11.134521,9.0403185,8.346402,10.5093155,10.149734,7.345475,10.895228,9.081251,9.26309,9.225019,9.871167,8.998501,9.054578,9.297335
,4.000609,7.326785,8.243596,10.640288,10.033688,9.477039,9.85426,8.33398,8.848639,9.406754,11.123147,9.076914,8.249283,10.537772,10.169736,7.3802776,10.967229,9.183199,9.376814,9.249159,9.88097,9.007857,9.112076,9.288174
,4.300925,7.3966064,8.210203,10.697589,9.975197,9.516934,9.663688,8.3385515,8.893198,9.392552,11.135307,9.020388,8.331201,10.545855,10.159607,7.396843,11.035772,9.135835,9.312698,9.219286,9.876363,9.005203,9.026957,9.299131
,3.964206,7.3615694,8.2470455,10.745349,10.026705,9.498688,9.856021,8.380531,8.81447,9.385019,11.124631,9.057306,8.235575,10.536554,10.179322,7.365551,11.077939,9.06313,9.205947,9.2497835,9.883252,9.013246,9.098257,9.289727
,4.2579017,7.421419,8.210875,10.718508,10.080797,9.450026,9.665881,8.370924,8.864055,9.3706255,11.136683,9.003603,8.315729,10.543326,10.168517,7.3473988,11.169265,9.087553,9.240642,9.218481,9.879959,9.010757,9.013033,9.301524
,3.9154863,7.3923426,8.248007,10.7586155,10.020896,9.467054,9.858458,8.328075,8.78069,9.377511,11.126696,9.040575,8.221673,10.5352545,10.141475,7.381584,11.1775675,9.045087,9.156502,9.256928,9.884787,9.016545,8.939004,9.291828
,4.200199,7.4427004,8.2092905,10.73677,10.0793,9.420602,9.668823,8.332737,8.834835,9.347168,11.138624,8.989416,8.29994,10.541042,10.147841,7.3987865,11.281006,9.051171,9.18008,9.222724,9.882446,9.014836,8.953172,9.304776
,3.8525782,7.4199133,8.246645,10.769611,10.020113,9.439601,9.861667,8.375734,8.746888,9.367374,11.129327,9.02624,8.207542,10.533894,10.168181,7.3679266,11.305937,9.042501,9.264078,9.271533,9.885795,9.011797,8.916083,9.294745
,4.125725,7.461246,8.2055435,10.75251,9.966827,9.393851,9.672622,8.365176,8.805288,9.3314,11.141108,8.977341,8.283785,10.538834,10.158031,7.3496428,11.298609,9.030787,9.212279,9.233102,9.8841305,9.014284,8.922644,9.309364
,3.7737,7.4449325,8.2430525,10.704238,10.021131,9.414634,9.86576,8.401731,8.712622,9.362109,11.132499,9.013866,8.193142,10.532304,10.131116,7.314987,11.314263,9.069475,9.310341,9.295671,9.886396,9.010326,8.911361,9.298979
,4.0325003,7.4776597,8.199666,10.742274,9.965596,9.368223,9.677407,8.391577,8.775048,9.321023,11.144106,8.96694,8.267201,10.536364,10.13647,7.295912,11.314387,9.046986,9.252693,9.251997,9.885191,9.013298,8.910041,9.316095
,3.6772885,7.4679117,8.237247,10.689506,10.020229,9.390765,9.870864,8.422574,8.677442,9.360146,11.136183,9.003059,8.178433,10.530162,10.156586,7.328418,11.321915,9.117155,9.16483,9.332449,9.882335,9.008712,8.914293,9.3054085
,3.9188502,7.4923816,8.191626,10.731698,9.96229,9.342526,9.6833315,8.413331,8.743689,9.314381,11.14758,9.094033,8.250129,10.533153,10.147389,7.338028,11.327608,9.080106,9.190477,9.283518,9.88499,9.012133,8.906473,9.292419
,3.5621603,7.4892397,8.229185,10.673464,10.017373,9.366928,9.877128,8.378295,8.64089,9.3604355,11.140332,9.085913,8.163375,10.526997,10.167124,7.369897,11.328023,9.180573,9.279703,9.220927,9.881522,9.007103,8.9188385,9.303609
,3.7836568,7.505706,8.18134,10.720302,9.95677,9.315834,9.690572,8.380417,8.71074,9.31032,11.151485,9.033928,8.232496,10.52859,10.157292,7.3861704,11.337426,9.133223,9.226303,9.252387,9.884639,9.010948,8.906374,9.29415
,3.4276786,7.509178,8.218758,10.655281,10.012458,9.342278,9.884725,8.339513,8.602492,9.362284,11.144886,9.066966,8.147929,10.5222,10.176704,7.4151134,11.331864,9.061923,9.147716,9.201817,9.880565,9.005607,8.921931,9.304878
,3.6266327,7.517789,8.168665,10.7074585,9.948802,9.287349,9.69933,8.343656,8.675708,9.308046,11.155753,9.017986,8.214236,10.521936,10.166219,7.4394617,11.343032,9.084867,9.1694565,9.2306385,9.884197,9.009856,8.906692,9.297507
,3.2738843,7.527874,8.205792,10.633833,10.005286,9.316059,9.893848,8.384595,8.561732,9.365231,11.149762,9.051041,8.132073,10.515002,10.185409,7.4146357,11.332811,9.0445795,9.248366,9.1885,9.879518,9.004295,8.922217,9.307786
,3.4485276,7.528645,8.153406,10.692321,10.066766,9.256285,9.709848,8.374834,8.63807,9.307009,11.134077,9.00475,8.195283,10.5123,10.174233,7.3935957,11.343713,9.049124,9.199747,9.214268,9.883697,9.008935,8.906011,9.301689
,3.698445,7.5453544,8.190056,10.741131,10.003615,9.287493,9.904722,8.409416,8.518022,9.368963,11.136821,9.037645,8.115795,10.504456,10.147372,7.362632,11.33034,9.123102,9.292932,9.178466,9.878418,9.003229,8.919279,9.311458
,3.4103703,7.5381284,8.135319,10.713996,9.941783,9.221708,9.722401,8.40022,8.597264,9.306827,11.122282,8.993733,8.175589,10.498626,10.154357,7.342821,11.338927,9.085361,9.238218,9.201071,9.883161,9.0082445,8.903942,9.306209
