Mean episodic reward
9.5
94.8
478.6
500.0
500.0
488.8
495.1
500.0
500.0
500.0
500.0
500.0
500.0
500.0
500.0
500.0
500.0
500.0
147.5
160.7
170.6
500.0
500.0
137.9
129.9
