Episodic reward,Step
156.0,21495
109.0,21604
130.0,21734
163.0,21897
67.0,21964
249.0,22213
44.0,22257
99.0,22356
63.0,22419
89.0,22508
58.0,22566
93.0,22659
50.0,22709
93.0,22802
140.0,22942
69.0,23011
106.0,23117
152.0,23269
60.0,23329
144.0,23473
58.0,23531
33.0,23564
157.0,23721
126.0,23847
87.0,23934
132.0,24066
52.0,24118
184.0,24302
122.0,24424
85.0,24509
148.0,24657
169.0,24826
152.0,24978
104.0,25082
139.0,25221
76.0,25297
205.0,25502
70.0,25572
71.0,25643
93.0,25736
171.0,25907
113.0,26020
148.0,26168
140.0,26308
164.0,26472
93.0,26565
144.0,26709
110.0,26819
50.0,26869
209.0,27078
128.0,27206
126.0,27332
117.0,27449
93.0,27542
71.0,27613
58.0,27671
57.0,27728
153.0,27881
39.0,27920
135.0,28055
136.0,28191
65.0,28256
115.0,28371
105.0,28476
137.0,28613
61.0,28674
50.0,28724
134.0,28858
175.0,29033
140.0,29173
70.0,29243
118.0,29361
172.0,29533
104.0,29637
159.0,29796
161.0,29957
100.0,30057
178.0,30235
152.0,30387
183.0,30570
99.0,30669
97.0,30766
158.0,30924
154.0,31078
79.0,31157
131.0,31288
65.0,31353
265.0,31618
117.0,31735
117.0,31852
188.0,32040
68.0,32108
188.0,32296
130.0,32426
69.0,32495
79.0,32574
67.0,32641
250.0,32891
183.0,33074
199.0,33273
126.0,33399
85.0,33484
154.0,33638
65.0,33703
92.0,33795
231.0,34026
179.0,34205
115.0,34320
81.0,34401
115.0,34516
93.0,34609
168.0,34777
188.0,34965
218.0,35183
196.0,35379
116.0,35495
111.0,35606
75.0,35681
87.0,35768
41.0,35809
105.0,35914
232.0,36146
162.0,36308
44.0,36352
137.0,36489
246.0,36735
203.0,36938
64.0,37002
179.0,37181
22.0,37203
109.0,37312
106.0,37418
32.0,37450
140.0,37590
160.0,37750
80.0,37830
152.0,37982
115.0,38097
110.0,38207
206.0,38413
264.0,38677
248.0,38925
205.0,39130
122.0,39252
185.0,39437
157.0,39594
124.0,39718
168.0,39886
350.0,40236
108.0,40344
140.0,40484
119.0,40603
54.0,40657
161.0,40818
72.0,40890
153.0,41043
213.0,41256
74.0,41330
102.0,41432
217.0,41649
152.0,41801
193.0,41994
92.0,42086
160.0,42246
159.0,42405
231.0,42636
278.0,42914
137.0,43051
153.0,43204
192.0,43396
149.0,43545
113.0,43658
111.0,43769
157.0,43926
180.0,44106
335.0,44441
125.0,44566
41.0,44607
147.0,44754
240.0,44994
121.0,45115
66.0,45181
225.0,45406
174.0,45580
144.0,45724
139.0,45863
131.0,45994
143.0,46137
200.0,46337
187.0,46524
160.0,46684
81.0,46765
157.0,46922
106.0,47028
287.0,47315
121.0,47436
136.0,47572
82.0,47654
336.0,47990
88.0,48078
239.0,48317
53.0,48370
140.0,48510
134.0,48644
122.0,48766
117.0,48883
54.0,48937
196.0,49133
202.0,49335
246.0,49581
175.0,49756
155.0,49911
403.0,50314
222.0,50536
