V_Values_0,V_Values_20000,V_Values_40000,V_Values_60000,V_Values_80000,V_Values_100000,V_Values_120000,V_Values_140000,V_Values_160000,V_Values_180000,V_Values_200000,V_Values_220000,V_Values_240000,V_Values_260000,V_Values_280000,V_Values_300000,V_Values_320000,V_Values_340000,V_Values_360000,V_Values_380000,V_Values_400000,V_Values_420000,V_Values_440000,V_Values_460000,V_Values_480000
0.1517274,6.880094,7.751332,8.351728,9.726985,7.592795,8.75244,9.917669,11.953063,10.872239,10.66412,10.004384,9.987982,9.971054,10.145547,8.308198,10.735445,9.7448435,5.600688,7.77131,7.257354,8.224887,11.487621,7.710745,7.263678
0.14426778,7.0255866,7.73921,8.363126,9.739773,7.6004725,8.7683115,9.919431,11.912814,10.881518,10.675522,10.001704,9.987665,9.958617,10.243322,8.300819,10.709475,9.736014,5.6237698,7.749159,7.176278,8.153451,11.591993,7.6764565,7.2622027
0.13786486,6.9061503,7.751075,8.35518,9.75576,7.599061,8.75238,9.9193,11.921571,10.88551,10.664228,10.008159,9.988667,9.966323,10.175759,8.306419,10.73144,9.742073,5.641563,7.682578,7.2420197,8.201347,11.485282,7.6888304,7.281485
0.13384488,7.0416064,7.7382665,8.363935,9.763739,7.60613,8.766891,9.920381,11.950875,10.894483,10.6756935,10.005394,9.988077,9.954615,10.266277,8.296318,10.702339,9.732289,5.657182,7.64768,7.1599293,8.129685,11.615717,7.645394,7.279198
0.13310277,6.935938,7.750636,8.357316,9.7776375,7.6057386,8.751017,9.920728,11.936925,10.898177,10.66414,10.011203,9.989286,9.96347,10.202923,8.304668,10.72546,9.739173,5.672281,7.5715885,7.22182,8.177018,11.494129,7.654505,7.291145
0.13604988,7.0579314,7.737395,8.363093,9.7828,7.612216,8.7647085,9.921207,11.963163,10.90701,10.675706,10.008466,9.989412,9.952713,10.286874,8.316429,10.69611,9.728335,5.681452,7.5223513,7.138441,8.10504,11.645033,7.601784,7.2877746
0.1426688,6.967735,7.7501707,8.358049,9.794115,7.612847,8.748522,9.922022,11.949549,10.910684,10.664026,10.013675,9.988663,9.962891,10.228312,8.323985,10.718733,9.736093,5.694158,7.4371834,7.1964664,8.151341,11.514533,7.6070833,7.2917137
0.15262488,7.072681,7.7367115,8.344419,9.798046,7.6086187,8.761811,9.921947,11.973247,10.919593,10.675709,10.015584,9.988749,9.974592,10.306417,8.331448,10.690417,9.724002,5.6974716,7.3895555,7.1115065,8.078953,11.676134,7.5444727,7.2866955
0.1653908,6.999407,7.749767,8.356657,9.806059,7.612002,8.744876,9.923228,11.960196,10.923484,10.6639805,10.009961,9.988131,9.966959,10.253294,8.3381195,10.711705,9.732713,5.7078743,7.386754,7.16576,8.123786,11.5455475,7.54552,7.2822437
0.1803579,7.083443,7.7362823,8.340363,9.810088,7.608279,8.758107,9.922621,11.981745,10.932747,10.675783,10.012145,9.988203,9.978384,10.326249,8.342752,10.684878,9.719043,5.705612,7.3368134,7.078925,8.050892,11.703183,7.4728165,7.274804
,7.0282435,7.7494636,8.354127,9.813789,7.611911,8.739876,9.924378,11.969445,10.937082,10.664049,10.006267,9.987694,9.970882,10.279413,8.348559,10.704409,9.72884,5.7136493,7.318866,7.12959,8.093833,11.583563,7.469717,7.2618294
,7.087058,7.736138,8.335286,9.819088,7.608719,8.753355,9.923241,11.989143,10.947042,10.675976,10.008716,9.987783,9.98171,10.347898,8.351324,10.6791725,9.740043,5.705863,7.266557,7.0406017,8.020343,11.71829,7.38864,7.2511034
