V_Values_0,V_Values_20000,V_Values_40000,V_Values_60000,V_Values_80000,V_Values_100000,V_Values_120000,V_Values_140000,V_Values_160000,V_Values_180000,V_Values_200000,V_Values_220000,V_Values_240000,V_Values_260000,V_Values_280000,V_Values_300000,V_Values_320000,V_Values_340000,V_Values_360000,V_Values_380000,V_Values_400000,V_Values_420000,V_Values_440000,V_Values_460000,V_Values_480000,V_Values_500000
-0.1874814,5.3892484,7.102914,8.903986,9.158904,12.105314,9.758403,8.993192,8.169334,6.1929674,5.481015,5.4897194,6.8436594,5.2787857,7.863459,7.6857147,5.6032085,4.4332476,6.971855,4.0331864,3.2897148,5.3152895,6.732032,6.8303633,7.107932,10.324749
-0.18729347,5.3255444,6.914507,8.898314,9.269759,12.071158,9.754356,8.977686,7.8232427,6.270159,5.2211514,5.9063554,6.6866484,5.124625,8.076899,7.727853,5.4962063,4.4914865,6.528578,3.9983847,3.282115,5.3521814,6.734686,7.0892777,6.8975444,10.760818
-0.18500692,5.3727746,7.0696373,8.846061,9.156717,12.076269,9.758711,8.995667,8.058907,6.2708473,5.194104,5.813834,6.9042425,5.1321583,7.9423723,7.766302,5.475269,4.602863,6.2682953,4.0416436,3.2727027,5.344121,6.728433,6.931095,6.7359514,10.754963
-0.1811811,5.3032107,6.8711243,8.823146,9.256858,12.09421,9.75857,8.979801,7.412571,6.295047,5.0571556,6.0502777,6.4077315,4.9281554,8.215817,7.5168715,5.491723,4.475323,6.5182667,4.068539,3.2690454,5.4082384,6.731972,7.158015,7.044883,11.02833
-0.1765756,5.3538876,7.030712,8.771001,9.147197,12.073107,9.751032,8.996509,7.8956733,6.30565,5.0231934,5.967207,6.7813253,4.9482603,8.091743,7.5771914,5.448989,4.535814,6.5366297,4.0579295,3.2639205,5.4158363,6.7208295,6.9588585,6.861595,10.919689
-0.17195651,5.277811,6.8225193,8.725382,9.23498,12.0911255,9.750378,8.98039,6.607689,6.3048897,4.9446077,6.159919,6.092021,4.681849,8.43041,7.6865387,5.4656515,4.369461,6.782441,4.074846,3.2619967,5.5222526,6.726231,7.1656613,7.0252557,11.252514
-0.16792083,5.332246,6.985012,8.673456,9.131176,12.070615,9.744579,8.995837,7.393872,6.320718,4.902331,6.0721684,6.484517,4.6987567,8.32086,7.5509653,5.405767,4.3785753,6.781728,4.067662,3.2589426,5.5518246,6.7048087,6.9240055,6.889572,11.157209
-0.16481757,5.2488112,6.7671843,8.596482,9.204516,12.088589,9.743333,8.979417,5.8855143,6.306941,4.835662,6.2346287,5.8524046,4.3873444,8.76716,7.662593,5.4301248,4.2523165,6.9754734,4.077916,3.257802,5.707269,6.7138534,7.108284,6.7761703,11.24177
-0.1627608,5.307389,6.931243,8.544001,9.109355,12.068724,9.73856,8.9938,6.409838,6.3259606,4.784439,6.1440105,6.1223783,4.386833,8.630993,7.547248,5.361216,4.228231,6.968855,4.073208,3.255797,5.7570047,6.670445,6.850786,6.7610598,11.2468815
-0.16168924,5.2155204,6.703352,8.420792,9.167063,12.086566,9.73673,8.976795,5.5767174,6.304349,4.7979965,6.2718334,5.709192,4.0888896,8.428561,7.7255516,5.399558,4.198595,7.223749,4.0792994,3.2550266,5.972411,6.6863017,6.971466,6.7890234,11.280067
