V_Values_0,V_Values_20000,V_Values_40000,V_Values_60000,V_Values_80000,V_Values_100000,V_Values_120000,V_Values_140000,V_Values_160000,V_Values_180000,V_Values_200000,V_Values_220000,V_Values_240000,V_Values_260000,V_Values_280000,V_Values_300000,V_Values_320000,V_Values_340000,V_Values_360000,V_Values_380000,V_Values_400000,V_Values_420000,V_Values_440000,V_Values_460000,V_Values_480000,V_Values_500000
-0.14299017,5.509392,8.661608,9.2963505,4.771828,4.471543,4.831875,7.3378544,7.862033,4.6208496,6.4046593,4.479209,8.854589,5.1221204,6.650223,5.8150377,4.3534703,7.9578056,5.8011103,5.973527,4.905875,6.8363523,5.2101884,6.184721,9.286552,6.8997188
-0.14968616,5.412213,8.769525,9.21028,4.4093704,4.390355,4.7943916,7.315466,7.829529,4.8608656,6.111065,4.4828396,7.4836216,4.944196,6.643372,5.8469,4.279279,8.04995,5.716465,6.29862,4.901531,6.843063,4.7559667,6.0752754,9.465121,6.338496
-0.15403283,5.4956117,8.744887,9.307023,4.5009146,4.410535,4.880844,7.3108587,7.9794426,4.6092052,5.9090385,4.469725,7.5357904,4.9100986,6.635494,5.893919,4.2320995,8.187941,5.684475,6.4051867,4.891674,6.8246703,5.05169,6.155475,9.470891,6.21272
-0.15637629,5.400069,8.648031,9.221205,4.051285,4.3334484,4.8322945,7.278148,7.879963,4.811082,5.7396717,4.463536,8.492197,4.7895083,6.6290526,5.9053974,4.1676226,8.169161,5.7004967,6.744602,4.8897038,6.838866,5.0497994,5.958935,9.239067,6.3138304
-0.1572528,5.4851475,8.707587,9.321801,4.1299043,4.350916,4.9320974,7.2678256,8.03947,4.554349,5.64657,4.449397,7.7339106,4.7524543,6.6182833,5.9295897,4.130942,8.250847,5.6418247,6.8215017,4.8812976,6.8181334,5.100635,6.0510216,9.36815,6.3345513
-0.15723819,5.391624,8.613189,9.237457,4.3339667,4.2761164,4.8679447,7.2238264,7.8874817,4.7199354,5.587345,4.4358897,8.816632,4.6788225,6.6126547,5.9301167,4.0716166,8.144169,5.653673,6.988633,4.88017,6.8360863,5.3599844,5.929492,8.683341,6.619467
-0.15686107,5.477863,8.671211,9.341244,4.0052276,4.2918053,4.9846983,7.2042837,8.059368,4.463422,5.5404196,4.418397,8.074121,4.645158,6.598754,5.9402914,4.0438976,8.195466,5.586788,7.056815,4.8732233,6.813809,5.2623596,6.0218086,9.142715,6.6808023
-0.15657467,5.3867974,8.580151,9.25965,4.209088,4.2193117,4.9006863,7.1483884,7.8686733,4.5943313,5.5143366,4.3990874,9.0633745,4.6024694,6.5942364,5.9370747,3.993755,7.9972725,5.5930495,7.09466,4.8723183,6.833561,5.507252,5.680382,8.617389,6.997489
-0.15675405,5.4736686,8.635369,9.36574,3.8774424,4.2332745,5.0372944,7.1171236,8.053453,4.346329,5.5139475,4.375935,8.446212,4.5735884,6.5766106,5.9412255,3.967871,8.028072,5.518172,7.1576824,4.8666735,6.810406,5.4698496,5.8060107,8.580954,7.2206078
-0.15769193,5.3855324,8.548338,9.288278,4.0644345,4.164309,4.930932,7.0496225,7.8366966,4.4445767,5.4794493,4.352087,9.220074,4.5387516,6.573408,5.937064,3.9305627,7.7205687,5.517282,6.769662,4.8622704,6.8307953,5.452644,5.0078797,8.687096,7.4770117
