Mean episodic reward,Critic loss,Actor loss
nan,4.8532534e-06,-0.0013733791
1.75,0.016118428,0.07691193
2.871794871794872,0.21173649,0.34682697
3.0303030303030303,0.0597298,-0.23419194
3.8214285714285716,0.025398323,0.07514387
3.9047619047619047,0.09063753,-0.18428889
4.954545454545454,0.015555281,-0.11984909
3.9565217391304346,0.18588093,-0.434784
6.176470588235294,0.14812715,-0.21609153
5.473684210526316,1.4513742e-05,-0.0011430783
4.761904761904762,0.0098326495,0.066861354
6.411764705882353,3.278002e-05,-0.0014160094
5.9411764705882355,0.00013454935,-0.004751268
6.071428571428571,0.00025469807,-0.0101878885
7.5,6.707083e-05,0.003245858
6.384615384615385,2.7618587,-0.2626067
8.083333333333334,0.0009597746,-0.039035086
9.076923076923077,0.7757438,0.31794724
8.181818181818182,0.00010872975,0.0054573207
8.909090909090908,0.021671733,-0.19866653
11.375,0.014020503,0.13937421
9.222222222222221,0.041866954,-0.10750093
12.0,0.0006719903,0.0063991183
11.125,0.9994984,-1.6705769
17.5,0.0010846293,-0.024691788
10.444444444444445,1.2332592,0.4307182
16.0,0.1577291,0.082214594
18.0,1.4877887e-06,0.00024326373
14.0,0.038721886,-0.12694481
15.142857142857142,0.00016587821,-0.0023758782
13.285714285714286,0.00030669812,0.0052668275
20.6,0.04327102,-0.118218
23.333333333333332,0.00038770225,0.018182749
20.2,0.008628601,0.026142282
19.4,0.024255771,-0.12938155
17.6,0.0063025528,-0.09023219
23.75,0.03458265,0.037554264
25.25,0.08424316,0.24910502
21.5,0.01432728,-0.06236728
16.4,0.0314434,-0.1804774
20.2,0.041314993,-0.23913057
21.5,0.0147677,-0.07777423
29.0,0.009528084,-0.050448123
24.0,0.00017158262,-0.002022025
29.0,0.0009805004,-0.007914559
30.0,0.0048974873,-0.007951272
22.75,9.356e-05,-0.0058648093
26.0,0.0116639575,-0.07269085
25.75,0.020542013,0.00913688
21.75,0.00018859282,0.00505545
25.5,0.01481212,-0.115997806
31.5,0.0072344127,-0.050734166
50.5,0.010617581,-0.036119625
42.666666666666664,0.023134872,-0.0050480575
35.5,0.008587457,-0.045705274
41.333333333333336,0.008523945,-0.036241468
31.25,0.8260633,0.0748194
31.666666666666668,0.1435228,0.20063402
23.5,0.0064601335,-0.035328154
31.25,0.00026323064,-0.0017813101
17.2,0.012447307,-0.04719121
40.666666666666664,0.009783254,-0.03400676
23.75,0.00039020844,-0.009591196
22.5,0.013948776,-0.03568636
31.75,0.010835468,-0.0054686377
20.0,0.7879691,0.426715
38.333333333333336,0.009281982,-0.019830102
17.333333333333332,0.0054719606,-0.004518398
32.666666666666664,0.2617253,-0.6518143
24.0,0.0024922527,-0.003205071
18.666666666666668,0.006415103,0.0043497737
29.5,0.03189671,0.24538751
31.333333333333332,0.018096158,-0.06538136
19.75,0.024171334,-0.038223527
39.0,0.0042246976,-0.013445499
32.666666666666664,0.017873239,-0.034475222
38.666666666666664,0.038055852,-0.031994823
24.0,1.2901535,2.6159344
37.5,0.88287145,0.09853819
30.75,0.18262236,-0.68473756
40.0,0.03741994,-0.112203
53.5,0.053472947,-0.07251345
62.0,0.013577783,-0.00241203
23.5,0.13790883,-0.16279778
34.666666666666664,0.032747794,-0.15941203
41.0,0.8121362,0.30939952
49.0,0.010061779,-0.028658297
49.5,0.01091503,-0.0136464685
56.0,0.01322429,-0.051108122
51.0,0.010628983,-0.016242336
44.0,0.009211003,-0.06983119
27.333333333333332,0.006013031,-0.012352004
47.5,0.000947193,-0.0056709005
30.5,0.0060107387,-0.059012692
34.0,0.8321906,0.20484464
47.5,0.01885208,-0.16727173
52.5,0.014964092,-0.0056198672
30.0,0.8808725,1.3005728
42.0,0.00023358795,-0.0038426132
48.5,0.008136805,-0.16603619
51.0,0.00814386,-0.15971123
47.0,0.021393739,-0.012619694
46.5,0.00923005,-0.012694746
33.0,0.010953424,-0.0028882283
37.666666666666664,0.0070901057,-0.006496071
42.0,0.0067880843,-0.0099894805
53.0,0.008992645,-0.00473387
56.5,0.0020704924,-0.011482006
44.5,0.008167631,-0.012482824
40.0,0.0025131973,-0.06220142
44.0,0.009578139,-0.008424659
45.5,0.016601335,-0.018610755
41.666666666666664,0.0072940737,-0.003783305
38.5,0.0002917206,0.0056611598
44.0,0.71611255,1.5824947
38.0,0.006754967,-0.011322498
43.0,1.0641788,0.1260629
46.5,0.008266181,-0.026614951
39.5,0.008999701,-0.102025345
44.333333333333336,0.010309325,-0.0026341248
50.5,0.008152469,-0.023328297
45.5,0.82249427,0.06274933
62.0,0.013449625,-0.098992586
37.5,0.0022590721,-0.008946474
46.5,0.0022587548,-0.0388386
47.0,0.010633507,-0.029090738
44.5,0.0048322342,-0.0075512365
48.5,0.0043430417,-0.013152117
33.5,0.014131838,-0.0030921237
53.5,0.008348061,-0.019285513
46.5,0.8401595,0.03528527
48.5,0.008865402,-0.009771147
46.333333333333336,0.014427451,-0.04711298
45.0,0.006620203,-0.008769408
47.5,0.0049647912,-0.04501024
26.5,0.0040921113,-0.02874738
55.0,0.006900117,-0.00048107508
34.0,0.007911452,-0.0028246585
54.0,0.016720494,-0.044167377
37.666666666666664,0.0062144324,-0.0044511086
36.666666666666664,0.77638036,0.47754222
47.5,0.0065664616,-0.089244746
49.0,0.0073064594,-0.007485655
31.75,0.020696895,-0.018467085
15.6,0.0014301256,-0.0263755
12.857142857142858,0.019899167,-0.024428438
9.5,0.0014071729,-0.004308044
10.5,0.0013690132,-0.010692097
12.222222222222221,0.050187524,-0.048527353
12.222222222222221,0.0039847223,0.061943743
9.1,0.0044291425,0.05270115
7.75,0.00076169695,-0.0009846595
10.166666666666666,0.011049613,-0.0049835765
9.7,0.0020491108,-0.101718746
12.375,0.00068316504,0.023344455
8.454545454545455,0.0069046724,-0.08032481
9.181818181818182,0.0045699226,-0.026491748
8.2,0.00034588858,-0.0025386037
12.142857142857142,0.0040353904,-0.012066387
14.0,0.88552403,0.41193154
12.333333333333334,0.00055980426,-0.0035974772
17.0,0.055454794,0.13182677
13.666666666666666,0.10239095,-0.03285351
16.833333333333332,0.011084966,-0.19684803
13.625,0.0021480133,-0.08764021
16.166666666666668,0.0020790498,-0.045301974
18.4,0.91813076,1.0338442
17.0,0.0002508922,-0.00060466764
16.8,8.1369235e-06,-0.0011251781
18.833333333333332,0.013718553,-0.019210324
21.25,0.0025115719,-0.005357405
25.6,0.014635878,0.006561219
19.2,0.01348792,-0.002870517
21.0,0.0060324958,-0.006366285
17.166666666666668,0.0059627756,-0.005277652
22.0,0.8841318,0.00723744
24.5,0.0021714584,-0.004764159
23.0,0.0051661665,-0.006551487
26.6,0.004271066,-0.0011173553
14.333333333333334,0.009335902,-0.062335618
14.285714285714286,0.75617856,0.91951656
11.222222222222221,0.0068332604,-0.0024975934
8.818181818181818,0.68755966,0.6869969
12.375,0.0016060107,0.0061813523
12.222222222222221,0.004417456,-0.0236503
12.125,0.005219978,-0.01969116
17.333333333333332,0.0028207863,-0.04460508
12.75,0.0011998852,-0.0042872913
9.88888888888889,0.0030856016,-0.0008585764
12.0,0.00057992863,-0.00068437296
14.142857142857142,0.007526478,-0.0015736619
16.571428571428573,0.0052614007,-0.0007234814
12.1,0.002040012,-0.031517956
9.5,0.00042619725,-0.0064368797
7.0,0.18137313,-0.044300072
8.166666666666666,0.024875928,-0.018040102
9.4,0.0045058085,-0.019246766
10.583333333333334,0.02903369,-0.00078899023
8.555555555555555,9.113146e-05,-0.0095702745
9.0,0.002542157,-0.0014697912
13.0,0.009601159,-0.037459314
10.3,0.0004122655,-0.0011070283
12.125,0.004399157,-0.0060089263
14.5,0.002264061,-0.0077425125
13.375,0.044792045,-0.13118282
17.333333333333332,0.039442834,0.023101438
