V_Values_0,V_Values_20000,V_Values_40000,V_Values_60000,V_Values_80000,V_Values_100000,V_Values_120000,V_Values_140000,V_Values_160000,V_Values_180000,V_Values_200000,V_Values_220000,V_Values_240000,V_Values_260000,V_Values_280000,V_Values_300000,V_Values_320000,V_Values_340000,V_Values_360000,V_Values_380000,V_Values_400000,V_Values_420000,V_Values_440000,V_Values_460000,V_Values_480000
0.2852522,5.223555,6.1825714,9.228933,9.589551,9.51911,10.066466,9.736777,10.3108225,10.343682,9.867302,9.821465,10.039179,10.151249,9.941596,9.857897,9.073743,9.890436,9.95788,10.371547,10.462587,10.241924,9.727246,10.309975,10.392912
0.2748208,5.2189183,6.1816974,9.233419,9.598802,9.518801,10.081062,9.735227,10.328769,10.341541,9.8671055,9.819915,10.043142,10.148611,9.947953,9.844282,9.07332,9.890514,9.957523,10.371189,10.463335,10.241447,9.727242,10.307817,10.392867
0.2622341,5.2235,6.1815276,9.232348,9.599714,9.518405,10.078425,9.734072,10.321634,10.343027,9.8698635,9.82125,10.040857,10.159569,9.9466095,9.863426,9.075051,9.890421,9.95804,10.371563,10.462656,10.24208,9.727371,10.3091545,10.392921
0.24724776,5.2194343,6.1794853,9.235298,9.607651,9.518258,10.080002,9.732185,10.319906,10.343999,9.869445,9.820185,10.044838,10.160105,9.948609,9.840972,9.074685,9.890502,9.9583845,10.37153,10.462898,10.241737,9.727426,10.308754,10.392926
0.22959456,5.2234235,6.178398,9.235857,9.6107435,9.518208,10.079219,9.730425,10.315312,10.344958,9.868318,9.820251,10.0427265,10.167324,9.946522,9.864707,9.073911,9.890403,9.958719,10.371732,10.462503,10.24183,9.727509,10.30902,10.392952
0.20909922,5.2195973,6.172349,9.238242,9.617792,9.518326,10.078264,9.728228,10.310513,10.345789,9.865914,9.819135,10.046625,10.168993,9.945957,9.834657,9.072346,9.89049,9.959008,10.3717985,10.462525,10.24151,9.727567,10.308918,10.392967
0.1858481,5.222728,6.164376,9.23959,9.62189,9.518558,10.07642,9.726018,10.304833,10.346464,9.862425,9.818368,10.044626,10.173517,9.942885,9.861341,9.070092,9.890387,9.959254,10.371936,10.462274,10.241339,9.727624,10.308915,10.392986
0.16040024,5.2187395,6.141673,9.241747,9.62807,9.518912,10.073991,9.723573,10.2987,10.346969,9.858003,9.816951,10.048372,10.175089,9.940443,9.8311205,9.067341,9.890476,9.959456,10.372022,10.4622135,10.240994,9.727668,10.308821,10.392999
0.13395579,5.220669,6.0996933,9.243425,9.632327,9.519358,10.070979,9.721073,10.292251,10.34731,9.852901,9.815573,10.046442,10.177626,9.936617,9.856291,9.064218,9.890368,9.959612,10.372122,10.462048,10.240703,9.727703,10.308735,10.393013
,5.216052,6.0357556,9.245427,9.637544,9.519883,10.067527,9.718486,10.285746,10.347506,9.847422,9.813828,10.050003,10.178606,9.933151,9.831335,9.060971,9.890461,9.959723,10.372194,10.46198,10.240351,9.727728,10.308625,10.393023
