V_Values_0,V_Values_20000,V_Values_40000,V_Values_60000,V_Values_80000,V_Values_100000,V_Values_120000,V_Values_140000,V_Values_160000,V_Values_180000,V_Values_200000,V_Values_220000,V_Values_240000,V_Values_260000,V_Values_280000,V_Values_300000,V_Values_320000,V_Values_340000,V_Values_360000,V_Values_380000,V_Values_400000,V_Values_420000,V_Values_440000,V_Values_460000,V_Values_480000
-0.04399427,2.349265,4.049797,5.2774205,4.653058,7.1034293,6.6968904,8.6581955,9.896886,9.50775,10.148955,11.659226,9.016336,9.22964,10.292044,10.334657,10.259232,8.347749,8.51666,10.803247,9.482407,9.168038,10.457674,10.037171,10.167626
-0.048181944,2.3496454,4.04906,5.2894063,4.613443,7.098403,6.6918573,8.654042,9.896672,9.506713,10.14898,11.669175,9.016276,9.230424,10.30571,10.333096,10.259251,8.349105,8.516733,10.909199,9.497199,9.155045,10.47429,10.038358,10.170989
-0.051843643,2.3494005,4.0447674,5.2961903,4.6122355,7.090817,6.6906605,8.651937,9.897237,9.503389,10.147098,11.672278,9.019159,9.229242,10.309149,10.334691,10.258836,8.34977,8.518754,10.933758,9.500605,9.154776,10.497856,10.037142,10.168653
-0.055184193,2.3491638,4.042406,5.307636,4.562685,7.0863376,6.684403,8.647553,9.897,9.502381,10.14667,11.679911,9.018136,9.229993,10.319056,10.33501,10.258783,8.350923,8.51967,10.983601,9.507332,9.147156,10.509874,10.038091,10.171815
-0.05837784,2.3487203,4.03767,5.3128576,4.5677576,7.078871,6.6827183,8.645347,9.897491,9.498933,10.14427,11.682334,9.020259,9.229087,10.322827,10.336841,10.258619,8.351672,8.521741,11.00811,9.509645,9.14375,10.523484,10.037075,10.169308
-0.061578784,2.348118,4.033914,5.3237514,4.5056305,7.0751,6.6754932,8.640779,9.897208,9.497963,10.143377,11.688032,9.01831,9.229808,10.329674,10.338456,10.258621,8.352584,8.523174,11.03283,9.512689,9.13796,10.532064,10.037793,10.172284
-0.06493014,2.347324,4.0285063,5.3272257,4.520722,7.0678415,6.6736755,8.638514,9.8976,9.494389,10.140432,11.689773,9.019732,9.229143,10.332894,10.34076,10.258618,8.353215,8.525166,11.048164,9.513677,9.133507,10.5408535,10.03692,10.16961
-0.06857182,2.3463328,4.0235004,5.337586,4.4423566,7.0649304,6.6657324,8.633805,9.897244,9.493465,10.139053,11.693881,9.016919,9.229836,10.337447,10.343122,10.258707,8.35383,8.526716,11.0605955,9.514587,9.128211,10.547605,10.037389,10.172416
-0.07264729,2.3451316,4.017288,5.3391175,4.4724617,7.0579505,6.66413,8.631521,9.897519,9.489762,10.13554,11.6949835,9.017723,9.229377,10.339833,10.345771,10.258824,8.354214,8.528414,11.068628,9.514427,9.1233015,10.554399,10.0365715,10.169568
-0.077310316,2.3437119,4.0111337,5.3489885,4.37292,7.05604,6.6556964,8.626715,9.897074,9.488894,10.133651,11.697812,9.01413,9.230043,10.342724,10.34846,10.258998,8.354483,8.529749,11.074139,9.514034,9.118047,10.560523,10.036774,10.172211
-0.08273122,2.3420675,4.004056,5.348372,4.424561,7.049388,6.654637,8.624449,9.897216,9.485064,10.129554,11.698353,9.014413,9.2297535,10.344288,10.351215,10.259204,8.354542,8.531001,11.077041,9.513058,9.1128845,10.56673,10.03595,10.169183
-0.08910285,2.3401937,3.9968374,5.357832,4.297455,7.048606,6.6459093,8.619584,9.896666,9.484261,10.127138,11.700167,9.010135,9.230397,10.345985,10.353919,10.259449,8.354439,8.531941,11.078001,9.511885,9.107574,10.57276,10.0359,10.171666
-0.096646026,2.3380885,3.9888852,5.354844,4.3788204,7.0423074,6.645684,8.6173725,9.896663,9.480301,10.122451,11.700239,9.010006,9.2302475,10.346849,10.356548,10.25972,8.354137,8.532714,11.077188,9.510391,9.102295,10.578813,10.035064,10.1684475
-0.10561277,2.335753,3.9806895,5.364013,4.216428,7.0427694,6.636817,8.612491,9.895996,9.47957,10.119494,11.701274,9.005146,9.230868,10.347696,10.359045,10.260017,8.3536625,8.533239,11.074983,9.508771,9.096973,10.584744,10.034831,10.170777
-0.1162857,2.33319,3.9718986,5.3584113,4.3371053,7.0368233,6.6376696,8.610366,9.895841,9.475484,10.11422,11.700985,9.004724,9.230834,10.34801,10.3613825,10.260335,8.3530035,8.5336075,11.071676,9.506976,9.091686,10.590596,10.0340395,10.167364
-0.1289668,2.330406,3.9628263,5.3674574,4.1311507,7.0386324,6.6287766,8.605501,9.895052,9.474835,10.11072,11.701444,8.999387,9.231437,10.348262,10.363532,10.260668,8.352178,8.533806,11.067667,9.505107,9.086414,10.596297,10.033747,10.169544
,2.3274105,3.9532704,5.358977,4.301017,7.0330067,6.6308913,8.603494,9.89474,9.470625,10.104872,11.700902,8.998792,9.231498,10.348175,10.365478,10.261011,8.351193,8.533907,11.063369,9.503149,9.081186,10.601907,10.033098,10.165941
,2.3242152,3.9434412,5.368124,4.0445204,7.0362525,6.622049,8.598682,9.893822,9.470066,10.100833,11.700965,8.993083,9.232087,10.348031,10.367209,10.261362,8.350064,8.533925,11.059251,9.501158,9.0759945,10.607432,10.032886,10.167983
,2.3208346,3.9332302,5.3564754,4.271424,7.0308833,6.625544,8.596822,9.8933525,9.46574,10.094435,11.700282,8.992435,9.232225,10.347687,10.368722,10.261717,8.348804,8.5339155,11.055785,9.49913,9.07085,10.61299,10.0324745,10.164199
