Mean episodic reward
9.2
172.5
375.6
180.5
174.9
500.0
250.9
350.1
135.0
339.1
500.0
113.9
44.5
60.3
191.6
158.1
101.6
131.9
328.9
205.9
311.2
335.0
435.6
302.9
276.3
