Episodic reward,Step
21.0,11856
26.0,11880
62.0,11940
23.0,11964
23.0,11988
20.0,12006
41.0,12048
28.0,12078
19.0,12096
57.0,12150
60.0,12210
114.0,12324
44.0,12372
71.0,12444
40.0,12480
14.0,12498
16.0,12510
31.0,12540
12.0,12552
90.0,12642
29.0,12672
32.0,12708
15.0,12720
32.0,12750
48.0,12798
47.0,12846
32.0,12882
22.0,12900
17.0,12918
146.0,13062
36.0,13098
73.0,13176
49.0,13224
31.0,13254
25.0,13278
26.0,13302
58.0,13362
40.0,13404
23.0,13428
55.0,13482
47.0,13530
20.0,13548
49.0,13596
55.0,13650
35.0,13686
29.0,13716
75.0,13788
45.0,13836
15.0,13848
67.0,13920
35.0,13950
11.0,13962
20.0,13986
23.0,14004
61.0,14070
109.0,14178
35.0,14214
44.0,14256
14.0,14268
34.0,14304
33.0,14334
17.0,14352
55.0,14406
36.0,14442
29.0,14472
19.0,14490
37.0,14532
54.0,14586
65.0,14646
25.0,14676
68.0,14742
23.0,14766
31.0,14796
45.0,14838
40.0,14880
32.0,14910
28.0,14940
46.0,14988
31.0,15018
48.0,15066
45.0,15108
27.0,15138
85.0,15222
28.0,15252
19.0,15270
23.0,15294
52.0,15342
30.0,15372
22.0,15396
55.0,15450
23.0,15474
25.0,15498
49.0,15546
40.0,15588
26.0,15612
58.0,15672
19.0,15690
22.0,15714
15.0,15726
26.0,15756
37.0,15792
30.0,15822
22.0,15846
85.0,15930
61.0,15990
49.0,16038
51.0,16092
38.0,16128
53.0,16182
15.0,16194
30.0,16224
33.0,16260
102.0,16362
46.0,16404
28.0,16434
43.0,16476
40.0,16518
33.0,16548
23.0,16572
40.0,16614
55.0,16668
14.0,16680
37.0,16722
43.0,16764
17.0,16782
26.0,16806
54.0,16860
28.0,16890
106.0,16992
24.0,17016
41.0,17058
72.0,17130
32.0,17160
63.0,17226
29.0,17256
42.0,17298
52.0,17346
13.0,17364
58.0,17418
20.0,17442
26.0,17466
18.0,17484
17.0,17502
51.0,17550
19.0,17568
25.0,17598
38.0,17634
57.0,17688
114.0,17802
24.0,17826
27.0,17856
18.0,17874
32.0,17904
38.0,17946
28.0,17970
35.0,18006
11.0,18018
83.0,18102
57.0,18156
121.0,18276
37.0,18318
25.0,18342
69.0,18408
96.0,18504
63.0,18570
11.0,18582
53.0,18630
24.0,18654
47.0,18702
37.0,18738
105.0,18846
93.0,18936
11.0,18948
36.0,18984
32.0,19020
73.0,19092
23.0,19116
19.0,19134
24.0,19158
36.0,19194
28.0,19218
85.0,19308
57.0,19362
36.0,19398
34.0,19434
58.0,19488
52.0,19542
10.0,19554
29.0,19584
51.0,19632
48.0,19680
9.0,19692
25.0,19716
23.0,19740
125.0,19860
74.0,19938
32.0,19968
18.0,19986
68.0,20052
55.0,20112
96.0,20208
94.0,20298
63.0,20364
33.0,20394
55.0,20448
61.0,20514
29.0,20538
50.0,20592
27.0,20616
28.0,20646
77.0,20724
19.0,20742
74.0,20814
32.0,20850
78.0,20928
14.0,20940
49.0,20988
49.0,21036
80.0,21120
30.0,21150
30.0,21180
29.0,21204
17.0,21222
65.0,21288
44.0,21330
83.0,21414
25.0,21438
32.0,21474
19.0,21492
18.0,21510
55.0,21564
43.0,21606
28.0,21636
70.0,21708
37.0,21744
12.0,21756
23.0,21780
24.0,21804
46.0,21846
43.0,21888
15.0,21906
38.0,21942
65.0,22008
47.0,22056
33.0,22086
14.0,22104
22.0,22122
23.0,22146
19.0,22164
50.0,22218
68.0,22284
20.0,22302
60.0,22362
26.0,22392
33.0,22422
55.0,22476
83.0,22560
29.0,22590
45.0,22638
18.0,22656
26.0,22680
30.0,22710
46.0,22758
48.0,22806
26.0,22830
112.0,22944
32.0,22974
73.0,23046
15.0,23064
140.0,23202
34.0,23238
71.0,23304
15.0,23322
52.0,23376
41.0,23412
56.0,23472
94.0,23562
38.0,23604
30.0,23634
21.0,23652
34.0,23688
29.0,23718
34.0,23748
31.0,23784
52.0,23832
37.0,23868
54.0,23922
34.0,23958
56.0,24012
