Mean episodic reward
13.0
104.5
161.0
245.5
464.6
342.7
393.8
454.0
471.5
500.0
500.0
467.7
500.0
500.0
500.0
488.4
500.0
500.0
500.0
500.0
500.0
500.0
500.0
500.0
484.2
500.0
