Critic loss,Actor loss
0.00044304132,-0.014054223
0.41017568,-0.23615634
0.070761256,-0.06570228
0.12423223,0.07261251
0.49901506,-0.5052919
0.7862986,0.08497581
1.7278194,-0.26465705
0.6297721,0.28336605
0.3865136,-0.42964426
0.9630607,-0.64787453
0.06404125,0.10297423
0.46459493,-0.09649744
0.10722625,-0.21087877
0.33019027,0.24065776
2.4262736,0.9818242
2.2124178,0.77638215
1.3465325,-1.0129801
0.014297477,0.013942775
0.31715652,-0.3428227
0.8978471,0.5550179
1.354005,-0.65736455
0.024275249,0.007951418
0.27672768,-0.25634518
0.3036858,0.115386434
0.015233242,-0.010751492
0.903869,0.55121547
0.009014352,-0.0018774681
0.105411194,-0.14137089
0.0143784275,-0.053043827
0.40744558,0.31993207
0.13428847,0.19737071
0.15550011,-0.13831423
0.54087526,-0.5105217
1.0145311,-0.82487947
0.38887188,0.2882718
0.05099861,-0.053960968
0.09916108,-0.15574433
0.082369246,0.09928342
0.39427996,-0.40005195
0.07986483,-0.011769022
0.31267238,0.03507967
0.06511497,-0.13434578
0.90030915,0.3523539
0.03472964,0.08028589
0.27137434,-0.17631258
1.176271,0.6027489
1.4134887,-0.6331609
0.025502091,-0.07694837
0.26111582,-0.1951372
1.1937646,-0.77906185
0.0501253,-0.1212629
2.1479156,-0.46170935
5.609871,1.1117542
1.3009839,0.43974575
0.21708421,-0.024365688
0.16512306,-0.18637753
0.21786766,-0.2629905
2.1606753,-0.978115
0.37680158,0.39082304
1.9495655,-1.3589373
0.9407391,-0.90823895
0.18806589,-0.11906061
0.10867252,-0.053271364
0.19031118,-0.33673954
0.18699567,0.19787382
0.2339686,-0.32957855
0.023985334,-0.07830781
0.96731645,0.5209028
0.4547684,0.3121293
0.029626094,-0.11733308
0.5765286,0.2975138
0.2763786,-0.19969721
1.1446111,0.16879694
2.4468412,0.8524607
0.43045485,0.31564543
0.5223704,-0.25534496
0.20747988,-0.14242606
0.6905019,0.40434504
0.1973695,0.065775424
0.54346603,-0.41905978
0.046171322,-0.080818236
0.024336984,0.069060504
0.03229269,-0.06758771
0.052590575,-0.14235774
0.33016905,-0.33679613
2.2177055,0.9184553
0.05289111,-0.11262015
0.32032993,0.15803744
0.043566827,-0.09642362
0.19968362,-0.22996199
0.33380187,0.445758
0.0353793,-0.11031196
0.33007643,-0.2506386
0.032901667,-0.09201219
0.010810201,-0.093518294
0.46295896,0.21965897
0.064687334,-0.17455156
0.12902416,-0.18016212
2.0624075,0.56167287
0.029373424,0.09011982
0.16647302,0.12178781
0.091609746,-0.16424477
0.12311363,-0.1798103
0.5638519,-0.7450199
0.29553998,0.28556284
0.5531689,-0.49996606
0.3592039,0.13759834
0.40692154,-0.37290657
0.08795142,-0.19809242
3.2970803,-1.0380388
0.8988982,0.56691056
0.0052046785,-0.0070439107
1.5018183,0.9272401
2.807326,1.4717588
5.3645844,-0.9244559
0.25162515,0.13968533
0.8203154,0.41719255
1.319826,0.50216144
0.3529148,0.08156504
0.6143946,0.34547684
0.15979895,-0.23524867
0.39603594,0.24079992
0.3146617,-0.041998953
0.31945258,-0.22317077
0.8523633,0.20495623
0.93738776,0.27554432
0.16847908,-0.21211982
0.18496352,-0.003795835
1.011252,0.34333494
0.44487807,-0.5912101
0.45260847,0.07671529
0.28142115,-0.16551195
0.4512163,-0.28694987
0.015897406,-0.07542481
0.9781775,-0.6219327
0.38920698,0.16016962
0.6869859,-0.061838303
0.23574917,-0.028099766
8.920726,-1.5535742
0.13498455,-0.20757003
0.28405267,-0.291355
0.31767628,-0.20492221
0.8436909,0.21981396
0.10928345,-0.13720934
4.9478226,-2.8723476
0.31238988,0.107842445
0.057293255,-0.086413376
0.7699252,0.5660406
0.07979888,-0.12180733
0.58971477,0.03418522
0.14902195,-0.18616085
0.039654776,-0.103349485
0.34309754,0.38904086
1.1616737,-0.64441687
0.1407582,-0.19522716
0.40929154,0.08376997
0.47597715,-0.34783772
0.7893527,-0.5700827
0.26945028,-0.26853213
0.3381264,0.11860935
0.5968191,0.27652016
0.5480247,-0.4654728
0.08930755,-0.1405826
0.5922639,0.32257274
0.10839919,-0.15767509
0.09652052,-0.15312767
0.12117675,-0.1770315
0.78083223,0.2333768
0.32326996,-0.30306047
0.20733373,-0.21744339
0.52679634,0.20832606
0.14784166,-0.06402271
2.4341614,0.46732864
0.18419032,-0.23481429
0.39062917,0.009331565
0.3303295,-0.32235336
0.10797152,0.115300976
0.056378473,-0.06269406
0.22847761,-0.034194812
0.73613673,0.4638964
0.50007087,-0.12871344
0.1727637,-0.19212294
1.9418846,0.7138479
0.87302285,0.34427676
0.18976884,-0.23446305
0.2688087,0.06487467
0.743602,0.32173178
0.20856142,-0.2677642
0.101876944,-0.13085072
0.13766839,-0.21990883
0.10040736,-0.111112945
0.4861518,0.23284608
0.4521141,-0.604937
0.34444585,0.008567631
1.6958126,0.3264911
0.23703337,0.058538865
0.38405272,-0.024501065
0.14284097,-0.24826069
0.45674428,0.18525438
0.36528108,0.0042898157
36.872322,-3.9838333
0.2964792,-0.013875167
0.83163196,0.44672433
0.2534705,0.018628366
1.200324,0.39187434
0.29216793,-0.2911286
0.18673114,-0.35005483
0.24739616,0.01947845
0.23586239,0.1270455
2.001098,0.25360933
0.12041253,-0.162753
0.60169125,0.12527774
0.28607377,-0.24505222
0.14928403,0.12911037
0.8488531,0.51339793
0.3112925,0.2772771
0.08854833,-0.15232776
0.08539658,-0.12318278
0.09721094,-0.100818455
0.256384,0.1664606
0.8499932,0.04987067
0.13477404,-0.16948609
0.08676193,-0.12212462
0.1643895,0.16879742
0.11262108,-0.068137236
0.021645634,-0.0663911
2.0983183,0.3935894
0.6134498,-0.6871379
0.12594108,-0.087574996
0.25392476,-0.19611026
0.335812,0.28267762
0.117648095,-0.1517231
0.12186768,-0.17909114
0.09321231,-0.15216996
0.081013575,-0.08435895
0.12139574,-0.14848986
0.103896685,-0.05297034
0.7565064,0.28059956
0.24757092,-0.12292152
2.0724776,0.77949864
0.59545255,0.12063491
0.18792038,-0.16765355
0.4911329,-0.23565978
1.3857621,0.5379535
0.24991085,-0.2903768
0.40775323,0.19805026
0.39641383,-0.16879143
2.0711339,0.34238443
1.1276145,-0.5651816
0.37652314,0.26067838
0.31130525,0.57345945
0.14104559,-0.15489127
0.22360684,-0.024990253
0.14321853,-0.19626415
0.49051163,0.28483903
1.9556519,1.3159286
0.39132988,0.013139024
0.12891062,-0.13163364
0.11384679,-0.12024655
0.04852234,0.040000327
0.17962672,0.055976603
49.813778,-7.1290836
0.122471236,-0.14261411
0.12974054,-0.1263784
0.2429953,-0.32933217
0.19006999,-0.1883372
1.2377928,0.17903106
0.08117158,-0.12904331
0.121963106,-0.12309306
0.08181371,-0.08416528
0.16838127,-0.3318435
1.3510221,0.22212201
1.0127665,0.24417047
0.35456344,-0.56342083
0.07585261,-0.13000008
1.3079454,0.47428212
0.15572992,-0.15209724
2.4774725,0.6160651
1.2280225,0.072134666
0.338769,0.06123056
0.43378404,0.116168134
1.4252721,0.23185502
0.38969544,0.037691712
0.43844903,0.39809498
0.07589727,-0.12228277
0.58101773,0.27401444
0.42552578,0.06299125
0.16113347,-0.15252773
0.2943505,-0.029644532
0.13631858,-0.1485637
0.23379077,-0.21687269
0.78880626,0.39030504
2.496629,0.3952615
0.039901827,-0.12025938
0.11527586,0.1710488
0.5922659,-0.5957778
0.12102276,-0.12858354
0.36772457,-0.26608673
0.049714535,-0.04971428
0.1010921,-0.19220902
0.17453295,-0.085965686
0.16635099,-0.19966744
0.15536694,-0.1827016
0.15516113,-0.13948901
0.14560722,-0.13717423
0.18382101,-0.17328618
0.43872514,0.12105135
0.425127,0.120430164
0.069277935,-0.060871944
0.14113812,-0.13710536
0.13789867,-0.101970874
0.35714498,0.0007157102
0.48121655,0.10306639
0.4726247,0.2944937
0.4546342,0.17619969
0.3269458,-0.03185485
0.2615881,-0.30376482
0.26194718,-0.31619862
0.3656548,-0.10716391
0.1324227,-0.13671266
0.43300283,-0.35009018
0.19604854,-0.28396347
0.12612544,-0.12130711
0.14978711,-0.13445191
0.13547216,-0.13198812
0.32098988,0.25197345
0.81413674,0.12996645
0.14755572,-0.1387047
1.6148239,0.47392932
0.2877149,-0.1473115
