Episodic reward,Step
31.0,30
33.0,63
24.0,87
17.0,104
26.0,130
11.0,141
11.0,152
17.0,169
11.0,180
15.0,195
41.0,236
30.0,266
17.0,283
27.0,310
15.0,325
12.0,337
28.0,365
87.0,452
13.0,465
32.0,497
15.0,512
13.0,525
13.0,538
16.0,554
20.0,574
13.0,587
11.0,598
14.0,612
21.0,633
37.0,670
35.0,705
12.0,717
36.0,753
44.0,797
14.0,811
10.0,821
22.0,843
9.0,852
18.0,870
46.0,916
21.0,937
23.0,960
9.0,969
46.0,1015
12.0,1027
16.0,1043
27.0,1070
32.0,1102
28.0,1130
17.0,1147
11.0,1158
18.0,1176
42.0,1218
21.0,1239
48.0,1287
25.0,1312
22.0,1334
27.0,1361
53.0,1414
12.0,1426
27.0,1453
50.0,1503
15.0,1518
45.0,1563
18.0,1581
35.0,1616
26.0,1642
18.0,1660
12.0,1672
26.0,1698
22.0,1720
27.0,1747
21.0,1768
59.0,1827
28.0,1855
17.0,1872
28.0,1900
24.0,1924
16.0,1940
20.0,1960
30.0,1990
15.0,2005
54.0,2059
15.0,2074
26.0,2100
42.0,2142
20.0,2162
11.0,2173
21.0,2194
59.0,2253
59.0,2312
19.0,2331
41.0,2372
71.0,2443
57.0,2500
48.0,2548
24.0,2572
18.0,2590
55.0,2645
25.0,2670
39.0,2709
20.0,2729
20.0,2749
28.0,2777
29.0,2806
12.0,2818
109.0,2927
77.0,3004
27.0,3031
25.0,3056
39.0,3095
66.0,3161
51.0,3212
52.0,3264
22.0,3286
25.0,3311
32.0,3343
16.0,3359
20.0,3379
60.0,3439
18.0,3457
21.0,3478
29.0,3507
21.0,3528
84.0,3612
51.0,3663
23.0,3686
13.0,3699
68.0,3767
17.0,3784
25.0,3809
93.0,3902
17.0,3919
31.0,3950
17.0,3967
46.0,4013
19.0,4032
37.0,4069
45.0,4114
17.0,4131
22.0,4153
27.0,4180
28.0,4208
12.0,4220
28.0,4248
20.0,4268
25.0,4293
34.0,4327
39.0,4366
19.0,4385
40.0,4425
23.0,4448
16.0,4464
23.0,4487
38.0,4525
57.0,4582
19.0,4601
12.0,4613
26.0,4639
97.0,4736
14.0,4750
42.0,4792
31.0,4823
18.0,4841
55.0,4896
56.0,4952
14.0,4966
56.0,5022
41.0,5063
48.0,5111
20.0,5131
62.0,5193
35.0,5228
47.0,5275
33.0,5308
50.0,5358
43.0,5401
129.0,5530
57.0,5587
70.0,5657
39.0,5696
36.0,5732
58.0,5790
20.0,5810
35.0,5845
31.0,5876
25.0,5901
46.0,5947
16.0,5963
16.0,5979
17.0,5996
27.0,6023
27.0,6050
53.0,6103
45.0,6148
45.0,6193
72.0,6265
32.0,6297
19.0,6316
14.0,6330
74.0,6404
40.0,6444
18.0,6462
19.0,6481
60.0,6541
23.0,6564
82.0,6646
30.0,6676
23.0,6699
35.0,6734
36.0,6770
36.0,6806
59.0,6865
102.0,6967
23.0,6990
34.0,7024
29.0,7053
58.0,7111
47.0,7158
29.0,7187
45.0,7232
25.0,7257
43.0,7300
26.0,7326
79.0,7405
14.0,7419
30.0,7449
85.0,7534
38.0,7572
27.0,7599
55.0,7654
31.0,7685
30.0,7715
104.0,7819
136.0,7955
27.0,7982
71.0,8053
83.0,8136
47.0,8183
34.0,8217
37.0,8254
45.0,8299
54.0,8353
38.0,8391
64.0,8455
42.0,8497
23.0,8520
12.0,8532
58.0,8590
50.0,8640
63.0,8703
39.0,8742
114.0,8856
57.0,8913
11.0,8924
51.0,8975
69.0,9044
79.0,9123
63.0,9186
48.0,9234
26.0,9260
95.0,9355
44.0,9399
52.0,9451
35.0,9486
55.0,9541
43.0,9584
71.0,9655
50.0,9705
55.0,9760
69.0,9829
65.0,9894
67.0,9961
78.0,10039
105.0,10144
178.0,10322
75.0,10397
63.0,10460
29.0,10489
20.0,10509
134.0,10643
68.0,10711
25.0,10736
39.0,10775
56.0,10831
28.0,10859
76.0,10935
31.0,10966
39.0,11005
31.0,11036
14.0,11050
45.0,11095
72.0,11167
55.0,11222
62.0,11284
46.0,11330
43.0,11373
58.0,11431
94.0,11525
55.0,11580
49.0,11629
102.0,11731
27.0,11758
120.0,11878
84.0,11962
74.0,12036
44.0,12080
62.0,12142
69.0,12211
154.0,12365
69.0,12434
114.0,12548
115.0,12663
115.0,12778
46.0,12824
22.0,12846
67.0,12913
68.0,12981
37.0,13018
72.0,13090
251.0,13341
127.0,13468
77.0,13545
51.0,13596
100.0,13696
58.0,13754
19.0,13773
89.0,13862
57.0,13919
41.0,13960
134.0,14094
64.0,14158
263.0,14421
88.0,14509
100.0,14609
67.0,14676
41.0,14717
