Episodic reward,Step
258.0,34122
157.0,34279
500.0,34779
233.0,35012
313.0,35325
192.0,35517
401.0,35918
341.0,36259
231.0,36490
291.0,36781
470.0,37251
78.0,37329
138.0,37467
247.0,37714
327.0,38041
134.0,38175
102.0,38277
59.0,38336
98.0,38434
184.0,38618
500.0,39118
141.0,39259
227.0,39486
267.0,39753
192.0,39945
72.0,40017
179.0,40196
354.0,40550
162.0,40712
150.0,40862
216.0,41078
197.0,41275
212.0,41487
194.0,41681
384.0,42065
181.0,42246
392.0,42638
128.0,42766
267.0,43033
415.0,43448
301.0,43749
500.0,44249
500.0,44749
317.0,45066
140.0,45206
443.0,45649
500.0,46149
356.0,46505
284.0,46789
500.0,47289
230.0,47519
148.0,47667
500.0,48167
271.0,48438
355.0,48793
308.0,49101
346.0,49447
439.0,49886
292.0,50178
226.0,50404
346.0,50750
202.0,50952
133.0,51085
500.0,51585
205.0,51790
500.0,52290
500.0,52790
500.0,53290
500.0,53790
466.0,54256
500.0,54756
363.0,55119
340.0,55459
274.0,55733
261.0,55994
242.0,56236
354.0,56590
272.0,56862
452.0,57314
67.0,57381
500.0,57881
500.0,58381
350.0,58731
375.0,59106
385.0,59491
500.0,59991
500.0,60491
500.0,60991
500.0,61491
500.0,61991
500.0,62491
500.0,62991
500.0,63491
500.0,63991
366.0,64357
160.0,64517
397.0,64914
352.0,65266
500.0,65766
500.0,66266
254.0,66520
500.0,67020
487.0,67507
497.0,68004
423.0,68427
500.0,68927
500.0,69427
500.0,69927
500.0,70427
500.0,70927
500.0,71427
500.0,71927
500.0,72427
500.0,72927
500.0,73427
500.0,73927
245.0,74172
500.0,74672
426.0,75098
272.0,75370
360.0,75730
500.0,76230
500.0,76730
500.0,77230
500.0,77730
500.0,78230
500.0,78730
500.0,79230
449.0,79679
133.0,79812
500.0,80312
500.0,80812
500.0,81312
500.0,81812
500.0,82312
500.0,82812
500.0,83312
500.0,83812
500.0,84312
500.0,84812
500.0,85312
500.0,85812
500.0,86312
500.0,86812
500.0,87312
500.0,87812
500.0,88312
500.0,88812
500.0,89312
500.0,89812
500.0,90312
500.0,90812
500.0,91312
500.0,91812
500.0,92312
500.0,92812
500.0,93312
500.0,93812
500.0,94312
500.0,94812
500.0,95312
500.0,95812
500.0,96312
500.0,96812
500.0,97312
500.0,97812
500.0,98312
500.0,98812
500.0,99312
500.0,99812
500.0,100312
500.0,100812
500.0,101312
500.0,101812
500.0,102312
500.0,102812
500.0,103312
500.0,103812
500.0,104312
500.0,104812
500.0,105312
500.0,105812
500.0,106312
500.0,106812
500.0,107312
500.0,107812
500.0,108312
500.0,108812
500.0,109312
500.0,109812
500.0,110312
500.0,110812
500.0,111312
500.0,111812
500.0,112312
500.0,112812
500.0,113312
500.0,113812
500.0,114312
500.0,114812
500.0,115312
500.0,115812
500.0,116312
500.0,116812
500.0,117312
500.0,117812
500.0,118312
500.0,118812
500.0,119312
500.0,119812
500.0,120312
500.0,120812
500.0,121312
500.0,121812
500.0,122312
500.0,122812
500.0,123312
500.0,123812
500.0,124312
500.0,124812
500.0,125312
500.0,125812
500.0,126312
500.0,126812
500.0,127312
500.0,127812
500.0,128312
500.0,128812
500.0,129312
500.0,129812
500.0,130312
500.0,130812
500.0,131312
500.0,131812
500.0,132312
500.0,132812
500.0,133312
500.0,133812
500.0,134312
500.0,134812
500.0,135312
500.0,135812
500.0,136312
500.0,136812
500.0,137312
500.0,137812
500.0,138312
500.0,138812
500.0,139312
500.0,139812
500.0,140312
500.0,140812
500.0,141312
500.0,141812
500.0,142312
500.0,142812
500.0,143312
500.0,143812
500.0,144312
500.0,144812
500.0,145312
500.0,145812
500.0,146312
500.0,146812
500.0,147312
500.0,147812
500.0,148312
500.0,148812
500.0,149312
500.0,149812
500.0,150312
500.0,150812
500.0,151312
500.0,151812
500.0,152312
500.0,152812
500.0,153312
500.0,153812
500.0,154312
500.0,154812
500.0,155312
500.0,155812
500.0,156312
500.0,156812
500.0,157312
500.0,157812
500.0,158312
500.0,158812
500.0,159312
500.0,159812
500.0,160312
500.0,160812
500.0,161312
500.0,161812
500.0,162312
500.0,162812
500.0,163312
500.0,163812
500.0,164312
500.0,164812
500.0,165312
500.0,165812
500.0,166312
500.0,166812
500.0,167312
500.0,167812
500.0,168312
500.0,168812
500.0,169312
500.0,169812
500.0,170312
500.0,170812
500.0,171312
500.0,171812
500.0,172312
500.0,172812
500.0,173312
500.0,173812
500.0,174312
500.0,174812
500.0,175312
500.0,175812
500.0,176312
500.0,176812
500.0,177312
500.0,177812
500.0,178312
500.0,178812
500.0,179312
500.0,179812
500.0,180312
500.0,180812
500.0,181312
500.0,181812
500.0,182312
500.0,182812
500.0,183312
500.0,183812
500.0,184312
500.0,184812
500.0,185312
500.0,185812
500.0,186312
500.0,186812
500.0,187312
500.0,187812
500.0,188312
500.0,188812
500.0,189312
500.0,189812
500.0,190312
500.0,190812
500.0,191312
500.0,191812
500.0,192312
500.0,192812
500.0,193312
500.0,193812
500.0,194312
500.0,194812
500.0,195312
500.0,195812
500.0,196312
500.0,196812
500.0,197312
500.0,197812
500.0,198312
500.0,198812
500.0,199312
500.0,199812
500.0,200312
500.0,200812
500.0,201312
500.0,201812
500.0,202312
500.0,202812
500.0,203312
500.0,203812
500.0,204312
500.0,204812
500.0,205312
500.0,205812
500.0,206312
500.0,206812
500.0,207312
500.0,207812
500.0,208312
500.0,208812
500.0,209312
500.0,209812
500.0,210312
500.0,210812
500.0,211312
500.0,211812
500.0,212312
500.0,212812
500.0,213312
500.0,213812
500.0,214312
500.0,214812
500.0,215312
500.0,215812
500.0,216312
500.0,216812
308.0,217120
500.0,217620
500.0,218120
500.0,218620
500.0,219120
500.0,219620
500.0,220120
500.0,220620
500.0,221120
500.0,221620
500.0,222120
500.0,222620
500.0,223120
500.0,223620
500.0,224120
500.0,224620
500.0,225120
500.0,225620
500.0,226120
500.0,226620
500.0,227120
499.0,227619
500.0,228119
500.0,228619
500.0,229119
500.0,229619
500.0,230119
500.0,230619
500.0,231119
500.0,231619
500.0,232119
500.0,232619
500.0,233119
500.0,233619
500.0,234119
500.0,234619
500.0,235119
500.0,235619
500.0,236119
254.0,236373
500.0,236873
472.0,237345
500.0,237845
500.0,238345
500.0,238845
500.0,239345
500.0,239845
500.0,240345
500.0,240845
500.0,241345
500.0,241845
500.0,242345
500.0,242845
461.0,243306
500.0,243806
500.0,244306
168.0,244474
207.0,244681
224.0,244905
245.0,245150
289.0,245439
195.0,245634
182.0,245816
289.0,246105
286.0,246391
294.0,246685
359.0,247044
459.0,247503
311.0,247814
297.0,248111
172.0,248283
500.0,248783
500.0,249283
500.0,249783
500.0,250283
500.0,250783
500.0,251283
500.0,251783
500.0,252283
383.0,252666
500.0,253166
500.0,253666
500.0,254166
500.0,254666
500.0,255166
500.0,255666
500.0,256166
500.0,256666
500.0,257166
500.0,257666
500.0,258166
500.0,258666
500.0,259166
500.0,259666
500.0,260166
500.0,260666
500.0,261166
500.0,261666
500.0,262166
500.0,262666
500.0,263166
500.0,263666
500.0,264166
500.0,264666
500.0,265166
500.0,265666
500.0,266166
500.0,266666
500.0,267166
500.0,267666
500.0,268166
500.0,268666
500.0,269166
500.0,269666
500.0,270166
500.0,270666
500.0,271166
500.0,271666
500.0,272166
500.0,272666
500.0,273166
500.0,273666
500.0,274166
500.0,274666
500.0,275166
500.0,275666
500.0,276166
500.0,276666
500.0,277166
500.0,277666
500.0,278166
500.0,278666
500.0,279166
500.0,279666
500.0,280166
500.0,280666
500.0,281166
500.0,281666
500.0,282166
500.0,282666
500.0,283166
500.0,283666
500.0,284166
500.0,284666
500.0,285166
500.0,285666
500.0,286166
500.0,286666
500.0,287166
500.0,287666
500.0,288166
500.0,288666
500.0,289166
500.0,289666
500.0,290166
500.0,290666
500.0,291166
500.0,291666
500.0,292166
500.0,292666
500.0,293166
500.0,293666
500.0,294166
500.0,294666
500.0,295166
500.0,295666
500.0,296166
500.0,296666
500.0,297166
500.0,297666
500.0,298166
500.0,298666
500.0,299166
500.0,299666
500.0,300166
500.0,300666
500.0,301166
500.0,301666
500.0,302166
500.0,302666
500.0,303166
500.0,303666
500.0,304166
500.0,304666
500.0,305166
500.0,305666
500.0,306166
500.0,306666
500.0,307166
500.0,307666
500.0,308166
500.0,308666
500.0,309166
500.0,309666
500.0,310166
500.0,310666
500.0,311166
500.0,311666
500.0,312166
500.0,312666
500.0,313166
500.0,313666
500.0,314166
500.0,314666
500.0,315166
500.0,315666
500.0,316166
500.0,316666
500.0,317166
500.0,317666
500.0,318166
500.0,318666
500.0,319166
500.0,319666
500.0,320166
500.0,320666
500.0,321166
500.0,321666
500.0,322166
500.0,322666
500.0,323166
500.0,323666
500.0,324166
500.0,324666
500.0,325166
500.0,325666
500.0,326166
500.0,326666
500.0,327166
500.0,327666
500.0,328166
500.0,328666
500.0,329166
500.0,329666
500.0,330166
500.0,330666
500.0,331166
500.0,331666
500.0,332166
500.0,332666
500.0,333166
500.0,333666
500.0,334166
500.0,334666
500.0,335166
500.0,335666
500.0,336166
500.0,336666
500.0,337166
370.0,337536
500.0,338036
500.0,338536
500.0,339036
333.0,339369
331.0,339700
315.0,340015
329.0,340344
372.0,340716
325.0,341041
331.0,341372
367.0,341739
500.0,342239
500.0,342739
500.0,343239
500.0,343739
500.0,344239
500.0,344739
500.0,345239
500.0,345739
500.0,346239
500.0,346739
500.0,347239
500.0,347739
500.0,348239
500.0,348739
500.0,349239
500.0,349739
500.0,350239
500.0,350739
500.0,351239
500.0,351739
500.0,352239
500.0,352739
500.0,353239
500.0,353739
500.0,354239
500.0,354739
500.0,355239
500.0,355739
500.0,356239
500.0,356739
500.0,357239
500.0,357739
500.0,358239
500.0,358739
500.0,359239
500.0,359739
500.0,360239
500.0,360739
500.0,361239
500.0,361739
500.0,362239
500.0,362739
500.0,363239
500.0,363739
500.0,364239
500.0,364739
500.0,365239
500.0,365739
500.0,366239
500.0,366739
500.0,367239
500.0,367739
500.0,368239
500.0,368739
500.0,369239
500.0,369739
500.0,370239
500.0,370739
500.0,371239
500.0,371739
500.0,372239
500.0,372739
500.0,373239
500.0,373739
500.0,374239
500.0,374739
500.0,375239
500.0,375739
500.0,376239
500.0,376739
500.0,377239
500.0,377739
500.0,378239
500.0,378739
500.0,379239
500.0,379739
500.0,380239
500.0,380739
500.0,381239
500.0,381739
500.0,382239
500.0,382739
500.0,383239
500.0,383739
500.0,384239
500.0,384739
500.0,385239
500.0,385739
500.0,386239
500.0,386739
500.0,387239
500.0,387739
500.0,388239
500.0,388739
500.0,389239
