Mean episodic reward
9.6
239.7
462.8
500.0
500.0
500.0
486.8
500.0
482.2
487.2
480.5
500.0
489.5
490.7
500.0
460.2
500.0
406.5
500.0
500.0
500.0
500.0
500.0
500.0
500.0
