V_Values_0,V_Values_20000,V_Values_40000,V_Values_60000,V_Values_80000,V_Values_100000,V_Values_120000,V_Values_140000,V_Values_160000,V_Values_180000,V_Values_200000,V_Values_220000,V_Values_240000,V_Values_260000,V_Values_280000,V_Values_300000,V_Values_320000,V_Values_340000,V_Values_360000,V_Values_380000,V_Values_400000,V_Values_420000,V_Values_440000,V_Values_460000,V_Values_480000,V_Values_500000
,60.82737,83.37141,76.50284,74.60238,99.98387,92.37976,100.00484,89.34979,93.92757,93.30572,97.90918,97.73671,100.04376,37.422657,95.72202,99.41412,99.984566,100.00221,98.651596,99.998024,100.00012,60.57096,99.82099,100.00345,99.998116
,60.829224,83.3667,76.51137,74.19614,99.984314,92.286865,100.00556,89.44397,93.759415,93.34232,97.96506,97.646515,100.043045,37.115097,95.231834,99.45145,99.98455,100.00222,98.65126,99.99799,100.00012,60.3045,100.055305,100.00273,99.998116
,60.812027,83.37164,76.48059,74.0985,99.9847,92.23736,100.00474,89.35153,93.9745,93.315865,97.931725,97.68682,100.04385,36.59709,95.50703,99.41517,99.984566,100.00221,98.65117,99.99802,100.00012,60.036556,99.754616,100.00344,99.998116
,60.81352,83.36721,76.48772,73.674194,99.98439,92.15335,100.0055,89.43173,93.80852,93.348015,97.9781,97.58225,100.04314,36.18401,95.077095,99.45691,99.984535,100.00222,98.65121,99.99798,100.00012,59.80362,100.00187,100.00272,99.998116
,60.78922,83.37196,76.46109,73.60178,99.9847,92.10188,100.0046,89.35666,94.02159,93.3221,97.94567,97.62438,100.043915,35.87705,95.312256,99.419266,99.984566,100.00221,98.65117,99.99801,100.000114,59.620625,99.67891,100.00343,99.99811
,60.790085,83.36785,76.46741,73.13826,99.98441,92.02425,100.00541,89.423035,93.8587,93.35075,97.985245,97.50078,100.04322,35.70946,94.949265,99.46534,99.984535,100.00222,98.651184,99.99796,100.00012,59.446075,99.93069,100.00273,99.998116
,60.80182,83.372375,76.444305,73.10256,99.98473,91.96643,100.00608,89.36485,94.069336,93.32541,97.952736,97.54469,100.043976,35.522285,95.14651,99.42569,99.984566,100.00221,98.65117,99.997986,100.00011,59.334255,99.59563,100.00345,99.9981
,60.796852,83.36864,76.45026,72.58248,99.98448,91.891815,100.00547,89.42003,93.91085,93.3511,97.987564,97.39527,100.043274,35.465466,94.85181,99.47548,99.984535,100.00222,98.65117,99.997955,100.00012,59.226513,99.84228,100.00275,99.99811
,60.80871,83.37287,76.430214,72.594215,99.984795,91.82221,100.00611,89.373245,93.68427,93.32633,97.95393,97.440704,100.044014,35.371418,95.01125,99.433586,99.98457,100.00221,98.65117,99.997986,100.000114,59.156826,100.15855,100.00346,99.9981
,60.80616,83.36955,76.43612,72.002884,99.98458,91.7465,100.00555,89.42525,93.78241,93.34929,97.98578,97.255516,100.045166,35.35067,94.78226,99.48622,99.984535,100.00221,98.65115,99.99795,100.000114,59.11776,100.00366,100.00278,99.9981
,60.817562,83.36374,76.41878,72.072174,99.984886,91.658615,100.00478,89.37317,93.56095,93.32508,97.94989,97.30169,100.04507,35.316776,94.904396,99.44193,99.98457,100.00221,98.65118,99.99798,100.00011,59.083122,100.17488,100.0035,99.9981
,60.817528,83.36924,76.4249,71.39691,99.98471,91.57653,100.00551,89.44002,93.6613,93.34527,97.98027,97.06659,100.044495,35.3045,94.73603,99.49655,99.984535,100.00221,98.65115,99.99795,100.000114,59.06461,100.12464,100.00281,99.9981
,60.827904,83.36304,76.41,71.533165,99.985016,91.46336,100.00466,89.48262,93.44783,93.32154,97.94089,97.111496,100.045105,35.29877,94.82256,99.44974,99.98457,100.00221,98.651184,99.99797,100.00011,59.04637,99.873184,100.00354,99.99809
,60.830322,83.36877,76.416534,70.76349,99.984886,91.36845,100.00544,89.483505,93.54962,93.338615,97.971245,97.17921,100.04455,35.288353,94.70851,99.50557,99.984535,100.00221,98.65134,99.99795,100.00011,59.036568,100.07597,100.00287,99.9981
,60.839104,83.36204,76.40393,70.97489,99.985176,91.32407,100.006096,89.505005,93.34496,93.31524,97.927,97.02175,100.045166,35.289318,94.762,99.45591,99.98458,100.00221,98.65121,99.99798,100.00011,59.02579,100.14679,100.0036,99.9981
,60.843773,83.36809,76.4111,70.10362,99.985085,91.26764,100.005516,89.530914,93.44815,93.32853,97.9587,97.100006,100.04462,35.280468,94.696236,99.51241,99.98454,100.00221,98.65138,99.99795,100.00011,59.019135,100.1598,100.002945,99.9981
,60.850395,83.36069,76.40068,69.121506,99.98536,91.22095,100.00469,89.54222,93.25173,93.30524,97.908035,96.92378,100.04524,35.261875,94.71785,99.459404,99.98458,100.00221,98.65123,99.99792,100.00011,59.014698,99.97209,100.00368,99.998116
,60.85698,83.36713,76.40874,69.490005,99.98531,91.17136,100.005455,89.57152,93.35687,93.31359,97.94241,97.0148,100.04469,35.260223,94.69673,99.5162,99.98454,100.00221,98.65141,99.997925,100.00011,59.010456,100.13509,100.00303,99.998116
,60.851997,83.35884,76.40054,68.51468,99.98557,91.118744,100.00611,89.589554,93.16719,93.28982,97.88358,96.820274,100.045334,35.244698,94.6815,99.4591,99.9846,100.00221,98.65126,99.99791,100.00011,59.007027,99.89058,100.00377,99.998116
,60.854183,83.36581,76.40979,68.90091,99.98557,91.07498,100.00553,89.594666,93.27545,93.2914,97.92189,96.924995,100.044815,35.245167,94.70655,99.5159,99.984566,100.00221,98.65145,99.99791,100.00011,59.00403,100.08949,100.00314,99.998116
,60.847538,83.35631,76.40396,67.94606,99.98582,91.013824,100.00474,89.638504,93.09026,93.26613,97.852905,96.71287,100.045456,35.233818,94.63501,99.45404,99.984604,100.00221,98.651306,99.9979,100.000114,59.000595,100.1357,100.003876,99.99811
,60.84951,83.36397,76.41481,68.33867,99.98585,90.97576,100.005486,89.589066,93.20355,93.25797,97.89638,96.83122,100.044945,35.23546,94.714874,99.51036,99.98458,100.00221,98.65148,99.99789,100.00011,58.998062,100.16444,100.00327,99.99811
,60.840576,83.36993,76.41169,67.41729,99.98608,90.90433,100.0046,89.6768,93.01988,93.22922,97.814896,96.60246,100.0456,35.22827,94.54531,99.44341,99.98463,100.00221,98.65135,99.99788,100.000114,58.99635,99.9868,100.004005,99.998116
,60.84238,83.364334,76.42475,67.80555,99.98616,90.8723,100.00541,89.70857,93.141235,93.20675,97.864685,96.73351,100.045105,35.23059,94.69131,99.49834,99.984604,100.00221,98.6515,99.99786,100.000114,58.99233,100.143036,100.00343,99.998116
,60.830242,83.3701,76.42492,66.928154,99.98637,90.78966,100.00607,89.721924,92.955124,93.17053,97.76792,96.48944,100.04577,35.227047,94.36718,99.42688,99.98466,100.00221,98.65138,99.99786,100.00011,58.99002,99.90439,100.00415,99.99812
,60.831867,83.36478,76.44109,67.30309,99.98649,90.76391,100.00547,89.764114,92.736084,93.1441,97.82517,96.63146,100.0453,35.212936,94.58005,99.478775,99.98464,100.00221,98.651505,99.99785,100.00011,58.98406,100.09952,100.00362,99.99812
,60.815094,83.370346,76.44554,66.47699,99.98667,90.66968,100.00611,89.74463,92.6334,93.19986,97.709656,96.37388,100.045975,35.21814,95.09944,99.53918,99.9847,100.00221,98.65143,99.997826,100.000114,58.980503,100.12561,100.00432,99.998116
,60.816406,83.365326,76.46625,66.83177,99.98684,90.65,100.00556,89.800705,92.44846,93.17069,97.77545,96.524445,100.04552,35.205784,95.234955,99.50577,99.98469,100.00221,98.65151,99.997826,100.000114,58.971703,100.16702,100.00382,99.998116
,60.792686,83.370674,76.47662,66.061226,99.98699,90.54421,100.004814,89.74614,92.33504,93.21316,97.63674,96.25568,100.046196,35.21168,95.55692,99.54258,99.98477,100.00221,98.651474,99.997795,100.000114,58.96607,99.99592,100.00449,99.99811
,60.793415,83.366,76.504135,66.39113,99.98719,90.52963,100.00555,89.81897,92.181046,93.18234,97.71218,96.41162,100.045784,35.200794,95.71446,99.52527,99.98477,100.00221,98.6515,99.997795,100.000114,58.95343,100.14755,100.00405,99.99811
,60.80466,83.371086,76.52321,65.67786,99.98688,90.41247,100.004715,89.725845,92.06358,93.21633,97.54441,96.13486,100.046455,35.20724,95.86802,99.534874,99.98475,100.00221,98.65143,99.997765,100.000114,58.944717,100.04828,100.00339,99.998116
,60.799885,83.36681,76.517746,65.98,99.987144,90.40113,100.005486,89.82016,91.935974,93.18437,97.63059,96.29228,100.04607,35.197746,96.01871,99.53304,99.98481,100.00221,98.65145,99.997765,100.000114,58.93686,100.16569,100.00397,99.998116
,60.811287,83.371605,76.4976,65.323784,99.9869,90.272675,100.00458,89.67917,91.81881,93.21286,97.4258,96.011734,100.046745,35.20472,96.02938,99.51726,99.984764,100.00221,98.65136,99.99773,100.00011,58.918648,100.08314,100.0033,99.99812
,60.808895,83.36777,76.49367,65.596756,99.98716,90.261795,100.005394,89.80322,91.71276,93.18001,97.5238,96.16595,100.046394,35.19668,96.16712,99.52759,99.984825,100.00221,98.651405,99.99775,100.00011,58.908268,100.1715,100.00389,99.99812
,60.819874,83.36101,76.476875,64.996086,99.986946,90.12177,100.00608,89.87608,91.598366,93.20481,97.27088,95.88722,100.04705,35.204113,96.016525,99.49152,99.98479,100.00221,98.651306,99.99779,100.00011,58.886322,100.02564,100.00323,99.99812
,60.819954,83.36724,76.474045,65.239494,99.9872,90.10768,100.00546,89.79323,91.50937,93.17116,97.381775,96.03279,100.046745,35.197647,96.16429,99.50996,99.98485,100.00221,98.65135,99.99776,100.00011,58.87351,100.16125,100.00383,99.99813
,60.82994,83.35991,76.45992,64.6921,99.98705,89.95515,100.00612,89.86534,91.39896,93.193306,97.06502,95.76327,100.047386,35.173103,95.72455,99.459625,99.984795,100.00221,98.65124,99.99779,100.00011,58.84866,99.947876,100.00317,99.99812
,60.832424,83.36647,76.457924,64.906265,99.98728,89.93332,100.005554,89.768845,91.32296,93.158844,97.189606,95.894135,100.04711,35.180782,95.946594,99.48278,99.98487,100.00221,98.6513,99.99775,100.00011,58.833443,100.12877,100.003784,99.99812
,60.84086,83.3584,76.44597,64.40954,99.987175,89.76646,100.00478,89.84343,91.21706,93.178856,96.78665,95.6433,100.04774,35.151947,96.1103,99.42351,99.98482,100.00221,98.65116,99.99779,100.00011,58.80567,100.08519,100.0031,99.99812
,60.845535,83.365395,76.44464,64.59515,99.98739,89.4899,100.005516,89.72977,91.15042,93.143524,96.925064,95.75331,100.047485,35.16268,95.81925,99.44927,99.984886,100.00221,98.65123,99.99776,100.000114,58.787205,100.17139,100.00373,99.99812
,60.85182,83.35632,76.43449,64.146454,99.987335,89.499954,100.00467,89.813354,91.04928,93.1615,96.40457,95.917,100.04807,35.13014,95.92432,99.3848,99.98484,100.00221,98.65132,99.99779,100.00011,58.75423,100.03668,100.00305,99.99812
,60.858364,83.36391,76.43373,64.304375,99.98669,89.12984,100.005455,89.6711,90.9886,93.125206,96.55525,95.74617,100.04786,35.143974,95.683754,99.41221,99.9849,100.00221,98.65123,99.99776,100.000114,58.730076,100.16436,100.00369,99.99812
,60.85355,83.35347,76.42509,63.901264,99.98716,89.20331,100.00452,89.774445,90.87746,93.140884,95.87541,95.90364,100.047386,35.1086,95.74996,99.46783,99.98486,100.00221,98.65131,99.997795,100.00011,58.68615,99.983604,100.00299,99.99812
,60.855698,83.361824,76.42488,64.03232,99.98658,88.75325,100.005356,89.804276,90.67888,93.1035,96.03325,95.74284,100.04769,35.125084,95.561745,99.43787,99.98494,100.00221,98.65122,99.99775,100.000114,58.651493,100.15115,100.00365,99.99812
,60.849297,83.368355,76.41752,63.672764,99.98703,88.90511,100.00604,89.73451,90.60403,93.116295,95.14526,95.892136,100.04723,35.087795,95.59973,99.49004,99.984886,100.00221,98.65131,99.9978,100.000114,58.585308,100.11463,100.00294,99.99814
,60.85127,83.36217,76.41788,63.777573,99.9865,88.38374,100.00541,89.75232,90.43744,93.07758,95.29875,95.74309,100.047554,35.00743,95.46279,99.46038,99.98497,100.00221,98.65121,99.99774,100.00012,58.531235,100.16953,100.0036,99.99814
,60.842697,83.36851,76.411606,63.46007,99.98693,88.62142,100.00608,89.68506,90.38871,93.08652,96.19495,95.883896,100.04711,35.014263,95.47534,99.50892,99.984924,100.00221,98.6513,99.997795,100.000114,58.420883,100.06374,100.002884,99.99814
,60.84455,83.36261,76.41255,63.538895,99.98646,88.024315,100.0055,89.69997,90.24667,93.04614,95.69165,95.74712,100.04744,34.917416,95.38897,99.47967,99.985016,100.00221,98.6512,99.99775,100.00012,58.330444,100.17177,100.003555,99.99814
,60.832962,83.368744,76.407265,63.262604,99.98687,88.353,100.00615,89.625046,90.216705,93.04971,96.67446,95.88075,100.04702,34.923264,95.36802,99.52459,99.98496,100.00221,98.65129,99.997795,100.000114,58.132225,99.92784,100.002815,99.99813
,60.83468,83.36316,76.408875,63.315224,99.98646,87.66017,100.00562,89.64877,90.09287,93.007126,96.19911,95.75579,100.047356,34.812138,95.33575,99.49589,99.98506,100.00221,98.65119,99.99775,100.00012,57.972168,100.13288,100.003494,99.99813
,60.81873,83.36908,76.40446,63.08005,99.98685,88.087456,100.00492,89.550705,90.07647,93.00313,97.1573,95.88502,100.04694,34.81144,95.2546,99.53729,99.98501,100.00221,98.651276,99.9978,100.000114,57.600655,100.13683,100.00274,99.99812
,60.820213,83.36386,76.406845,62.783035,99.98649,88.69011,100.00562,89.59703,89.96596,92.957344,96.75436,95.77069,100.04731,34.68742,95.286156,99.50926,99.985115,100.00221,98.651184,99.99774,100.00012,57.308372,100.16056,100.003426,99.99812
,60.797802,83.36951,76.40323,62.820873,99.98685,88.413795,100.00485,89.47345,89.95936,92.94258,97.58712,95.89952,100.046906,34.67302,95.471596,99.54732,99.98508,100.00221,98.65125,99.9978,100.000114,56.621487,100.09558,100.00266,99.99814
,60.79878,83.364716,76.40654,62.55175,99.98654,88.93876,100.0056,89.513855,89.85852,92.89186,97.28687,95.79429,100.04731,34.53592,95.65812,99.5201,99.985176,100.002205,98.65117,99.99775,100.00012,56.10255,100.174286,100.00334,99.99814
,60.766308,83.370056,76.403694,62.60628,99.98687,88.67264,100.00475,89.3557,89.85895,92.86181,97.9308,95.92766,100.04692,34.500538,95.67447,99.55496,99.98515,100.00221,98.651245,99.9978,100.000114,55.827187,100.032196,100.002556,99.99814
,60.766277,83.36574,76.40812,62.36417,99.986626,89.13557,100.00555,89.43028,89.76511,92.80293,97.73804,95.83002,100.04738,34.348812,95.85381,99.52873,99.98525,100.00221,98.65117,99.99775,100.00012,54.700146,100.167366,100.00324,99.998146
,60.779808,83.35812,76.406044,62.434658,99.98693,88.8783,100.00463,89.246155,89.77041,92.7514,98.18051,95.7121,100.047005,34.106724,95.85438,99.56056,99.98523,100.00221,98.65124,99.99781,100.000114,54.428253,99.97113,100.00243,99.99814
,60.768288,83.36506,76.41184,62.223072,99.98672,89.29188,100.00546,89.349945,89.681625,92.6783,98.07628,95.82932,100.04637,33.901447,95.7511,99.535515,99.98534,100.00221,98.65117,99.99774,100.00013,53.069973,100.15191,100.00311,99.99814
,60.782772,83.35675,76.41057,62.30721,99.98587,89.04213,100.004456,89.151566,89.690025,92.61019,98.34742,95.71123,100.046555,33.5939,95.69145,99.56444,99.98532,100.00222,98.65123,99.99782,100.000114,51.497356,100.10794,100.0023,99.99814
,60.773254,83.36409,76.41812,62.134937,99.98659,89.41681,100.00535,89.27373,89.60485,92.65191,98.30191,95.82407,100.04597,33.257084,95.877495,99.54081,99.98524,100.00221,98.65133,99.99774,100.00013,50.70533,100.17249,100.00297,99.99814
,60.788174,83.35486,76.417725,62.22948,99.985794,89.17314,100.006065,89.077194,89.61481,92.57076,98.105576,95.706924,100.04622,32.85632,95.90239,99.566956,99.98529,100.00221,98.65128,99.997826,100.00013,49.27182,99.81867,100.003876,99.99814
,60.781002,83.36273,76.4275,62.344208,99.9865,89.5177,100.005394,88.662445,89.53223,92.615944,98.26783,95.81537,100.045685,32.36082,95.76343,99.545006,99.9852,100.00221,98.65135,99.997894,100.00013,48.587746,100.08886,100.003296,99.99814
,60.79582,83.35225,76.42812,62.154938,99.98576,89.27855,100.00607,88.8598,89.54224,92.522995,98.04305,95.700035,100.04601,31.843307,95.759155,99.5685,99.985245,100.00221,98.651344,99.997826,100.00013,47.504253,100.16138,100.004135,99.99814
,60.79121,83.36084,76.44083,62.258495,99.98646,89.60038,100.00547,88.391495,89.46149,92.57435,98.224976,95.80415,100.04555,31.200699,95.6708,99.5485,99.985146,100.00221,98.65138,99.997894,100.00013,46.967003,100.13389,100.0036,99.998146
,60.80539,83.36754,76.4427,62.072666,99.98576,89.364,100.006134,88.62154,89.470024,92.470146,97.96422,95.691345,100.04597,30.55938,95.62545,99.56946,99.98521,100.002205,98.6514,99.997826,100.00013,46.213306,100.1312,100.004364,99.99814
,60.80345,83.36141,76.4593,62.16568,99.986435,89.66949,100.00558,88.13194,89.44466,92.52902,98.1705,95.79131,100.0456,29.829445,95.595024,99.55175,99.98509,100.00221,98.65141,99.997894,100.00012,45.796505,100.1655,100.003876,99.99814
,60.816475,83.36786,76.46282,61.983654,99.98579,89.43396,100.00483,88.36926,89.3654,92.41385,97.862854,95.681595,100.04612,29.080616,95.68953,99.57034,99.98515,100.002205,98.65147,99.997826,100.00013,45.27714,99.73468,100.00313,99.998146
,60.81717,83.36211,76.48471,62.066635,99.98643,89.72866,100.00557,87.89345,89.327156,92.480804,98.099754,95.77763,100.04587,28.357574,95.86913,99.55523,99.98505,100.00221,98.65147,99.997894,100.00012,44.944466,100.047775,100.00375,99.998146
,60.82855,83.36828,76.49048,61.888615,99.98581,89.49181,100.00474,88.11313,89.26737,92.35488,97.72931,95.67141,100.0453,27.549946,95.7719,99.571625,99.98511,100.00221,98.65155,99.99782,100.00013,44.571312,100.17295,100.002975,99.998146
,60.8317,83.36296,76.51974,61.96194,99.98644,89.78068,100.005516,87.67761,89.20727,92.42999,98.005325,95.763756,100.04552,26.352306,95.958626,99.55941,99.984985,100.00221,98.65153,99.99789,100.00012,44.29401,100.10289,100.00362,99.998146
,60.84094,83.353386,76.5287,61.788044,99.98584,89.540016,100.00462,87.86165,89.16836,92.29364,97.54867,95.661415,100.045044,25.27671,95.993706,99.57389,99.985054,100.002205,98.651634,99.997826,100.00013,43.999012,100.15431,100.00437,99.99815
,60.846256,83.36156,76.568474,61.851906,99.98646,89.82752,100.00545,87.48016,89.077385,92.37663,97.8754,95.75031,100.04532,24.164803,95.83944,99.5649,99.98493,100.00221,98.65161,99.99789,100.00012,43.75663,100.1474,100.00388,99.99815
,60.852848,83.367905,76.582596,61.6822,99.98586,89.58009,100.004456,87.61891,89.062325,92.230286,97.29793,95.652115,100.04489,23.357998,95.84391,99.57779,99.98499,100.002205,98.651596,99.997826,100.00013,43.486156,100.11341,100.00312,99.99815
,60.85991,83.36241,76.53651,61.736572,99.98647,89.87044,100.00533,87.29501,88.93056,92.32065,97.69079,95.73781,100.04524,22.413876,95.73911,99.57231,99.984886,100.00221,98.651695,99.99789,100.00012,43.264435,100.17433,100.003746,99.99815
,60.86325,83.35249,76.54746,61.57114,99.98586,89.61266,100.00605,87.38492,88.94376,92.16498,96.94171,95.64395,100.04486,21.853374,95.70734,99.584045,99.98494,100.00221,98.651634,99.997826,100.00013,42.971775,99.78396,100.00447,99.99815
,60.871563,83.3609,76.50578,61.615665,99.98646,89.90982,100.005394,87.11684,88.7596,92.261986,97.41994,95.726715,100.04528,21.052708,95.65749,99.582344,99.98483,100.00221,98.65178,99.99789,100.00012,42.760834,100.08044,100.00401,99.998146
,60.87131,83.36744,76.51289,61.45471,99.98583,89.63728,100.00608,87.157425,88.8069,92.0979,96.427635,95.6373,100.044945,20.672504,95.71341,99.593475,99.98488,100.00221,98.651695,99.997826,100.00014,42.649483,100.162415,100.003265,99.99815
,60.872128,83.36174,76.47541,61.48864,99.98643,89.94512,100.005486,86.941666,88.55654,92.2006,97.01111,95.71744,100.04543,19.97232,95.896835,99.59573,99.98479,100.00221,98.651855,99.99789,100.00014,42.47329,100.13561,100.00388,99.99815
,60.871487,83.351395,76.47827,61.33251,99.98576,89.65234,100.00614,86.82463,88.64513,92.02933,95.68509,95.63249,100.04512,19.725101,95.884,99.607,99.984825,100.00221,98.65175,99.997826,100.00014,42.094,99.57685,100.00458,99.99815
,60.87203,83.36009,76.44494,61.35458,99.98635,89.97478,100.0056,86.56911,88.31272,92.13655,96.38362,95.71032,100.04571,19.101147,95.799,99.613174,99.98474,100.002205,98.65193,99.99788,100.00014,41.90475,99.96154,100.00414,99.99815
,60.870884,83.36686,76.44342,61.203915,99.98632,89.65473,100.00486,86.536575,88.45065,91.95982,97.420876,95.62978,100.04542,18.28656,95.78086,99.62547,99.98477,100.00221,98.651825,99.997826,100.00014,41.399094,100.176796,100.00342,99.99817
,60.871315,83.360886,76.414276,61.212143,99.98626,89.996,100.00559,86.219986,88.5969,92.0701,96.96166,95.70569,100.044556,17.850391,95.96503,99.63517,99.98471,100.00221,98.65203,99.99788,100.00014,41.210625,100.037575,100.00403,99.99817
,60.869526,83.36734,76.408554,61.067894,99.986275,89.63953,100.00478,86.25751,88.4154,91.890205,97.735466,95.62939,100.04455,17.097176,95.97587,99.64951,99.98472,100.00221,98.6519,99.997826,100.00014,40.52452,100.17455,100.00328,99.99817
,60.869965,83.36185,76.383675,61.059353,99.9862,90.004524,100.005554,85.90355,88.56686,92.00174,97.43289,95.70383,100.043785,16.75528,95.85585,99.661644,99.98478,100.00221,98.65213,99.99788,100.00014,40.335682,100.10502,100.00391,99.99815
