Mean episodic reward
9.3
277.5
500.0
500.0
500.0
492.0
500.0
500.0
485.9
479.3
315.6
151.6
500.0
500.0
343.6
500.0
500.0
500.0
155.0
419.1
500.0
478.9
500.0
500.0
463.5
500.0
