Mean episodic reward
9.5
422.1
495.2
480.2
288.7
500.0
402.7
500.0
329.6
483.9
424.0
500.0
500.0
500.0
141.8
343.1
481.0
500.0
500.0
487.2
500.0
496.5
166.0
494.3
500.0
500.0
