Mean episodic reward,Critic loss,Actor loss
nan,1.0059022,0.8159748
22.59090909090909,0.9649068,0.7585253
nan,0.9555581,0.6472341
26.13157894736842,0.5120878,0.5139666
25.075,1.0404607,0.78809726
25.205128205128204,0.7889531,0.64321005
27.513513513513512,1.1727252,0.70381206
22.244444444444444,0.5270204,0.4969178
30.34375,4.87648,1.3610072
31.75,0.00057264837,0.0083386535
31.375,1.9424067,1.1304402
32.483870967741936,0.8263823,0.61389285
28.147058823529413,1.3993132,1.39619
42.82608695652174,1.2488751,0.46559826
44.73913043478261,0.5885355,0.45142207
46.09090909090909,0.4660157,0.63644296
52.388888888888886,0.81684756,0.4674192
47.86363636363637,0.51546025,0.41624364
49.95,0.5254942,0.41708112
56.0,0.74148536,0.34319523
55.27777777777778,0.49555758,0.69384664
47.76190476190476,0.65960157,0.25301522
63.3125,0.7736971,0.9193298
62.13333333333333,0.42458302,0.40132722
64.4375,0.3997278,0.20431042
67.8,1.2013596,0.8823589
66.33333333333333,0.81168246,1.1800288
76.46153846153847,0.3814362,0.65906626
68.53333333333333,0.73121995,0.5248406
71.5,0.7281324,0.32796204
101.0,1.0020992,0.90681684
83.6923076923077,0.6501876,0.4177911
122.5,0.72272116,0.25298932
95.5,0.8421563,1.1649325
80.92307692307692,1.0067806,0.1963262
117.625,0.7244117,0.10893844
89.0,0.19356291,0.26821727
89.88888888888889,0.75887805,0.21836826
109.18181818181819,0.6899768,0.5138042
98.4,0.13075209,0.30389234
116.125,0.6191299,0.30824408
170.16666666666666,0.38429463,0.20700955
110.11111111111111,0.0011283575,0.06335437
95.9,1.0959934,0.1547602
158.85714285714286,0.55313796,0.64016265
106.5,0.867771,-0.118545845
104.18181818181819,1.18682,0.73750293
111.88888888888889,0.51538354,0.31353715
162.16666666666666,0.14088833,0.4341115
193.8,0.9230481,0.19599748
143.42857142857142,1.2889806,0.22199066
206.6,0.634168,0.59783536
112.44444444444444,0.6861828,0.5497659
153.5,1.1918736,0.16453613
153.33333333333334,0.9191625,0.41297686
161.85714285714286,0.8352819,0.13603953
171.66666666666666,0.64500177,0.23282053
121.125,0.6088497,1.4198761
104.55555555555556,0.8063537,0.43816763
103.7,0.73911476,0.4157044
163.16666666666666,0.93038064,0.65982085
121.85714285714286,0.48136055,0.1563644
149.14285714285714,0.8642426,0.5908541
152.2,0.7011029,0.06642069
387.0,0.89009964,1.3268149
199.33333333333334,0.63700014,0.35459965
155.5,0.4944391,0.44382817
225.0,0.6965961,0.30005038
117.0,0.7235291,0.5013637
145.5,0.9125732,0.4352539
251.5,0.68750745,0.63314
169.83333333333334,0.5838256,1.0390475
141.0,0.73078614,0.79451007
207.33333333333334,0.61161286,0.57553375
171.4,0.5787824,0.49399462
197.33333333333334,0.6837897,0.12532622
187.4,0.63146114,0.21978654
173.66666666666666,0.592563,0.14769588
245.5,0.32290447,0.25446564
148.57142857142858,0.7569446,0.44884747
191.4,0.5740572,0.23185778
167.8,0.43958685,0.28965548
237.0,0.7773184,1.0761659
315.6666666666667,0.6763309,0.6132679
174.0,0.47271788,0.15026069
243.0,0.6918333,1.0615242
272.0,0.9793935,1.0038328
197.4,1.0007459,0.17144881
261.75,0.81408656,0.40055895
257.0,0.88587856,0.59727025
240.0,0.271016,0.06940343
183.0,0.7726103,0.15432785
226.0,0.7925624,0.49684492
210.75,0.620555,0.5508228
229.0,0.98083824,1.0522351
244.0,0.81326073,1.3677902
267.5,0.80377656,0.113004655
215.5,0.7854281,0.2192005
292.75,0.77363837,0.7979067
231.5,0.78402233,0.493838
337.6666666666667,0.89597744,1.372576
242.5,0.86204,0.28240263
269.75,0.9196423,0.2199084
294.3333333333333,0.8476649,0.06697937
225.8,0.8991162,0.065958306
254.25,0.8297868,0.21130255
244.5,0.8752319,0.10274681
164.2,0.9152746,0.2040988
318.3333333333333,0.8756558,1.3850238
368.0,0.8540118,0.9329242
202.2,0.9525096,0.3356933
204.4,0.9473161,1.8449162
186.8,1.222202,1.1463376
180.8,0.71677727,0.6232757
180.85714285714286,0.87800705,0.7309922
193.66666666666666,0.8815995,0.41263053
227.33333333333334,0.8792371,0.18671237
113.5,0.8900187,0.68694985
169.0,0.84584486,0.5418341
149.42857142857142,0.85928047,0.35171032
200.0,0.8563471,2.1345992
326.3333333333333,0.8112031,0.21636945
156.0,0.87183505,0.9174163
207.75,0.019311043,-0.027904334
185.57142857142858,0.86233044,0.43144313
141.66666666666666,0.9415607,0.59185326
170.42857142857142,1.0203967,0.35509235
136.71428571428572,0.906934,0.22636433
170.33333333333334,0.8780142,0.4693572
