V_Values_0,V_Values_20000,V_Values_40000,V_Values_60000,V_Values_80000,V_Values_100000,V_Values_120000,V_Values_140000,V_Values_160000,V_Values_180000,V_Values_200000,V_Values_220000,V_Values_240000,V_Values_260000,V_Values_280000,V_Values_300000,V_Values_320000,V_Values_340000,V_Values_360000,V_Values_380000,V_Values_400000,V_Values_420000,V_Values_440000,V_Values_460000,V_Values_480000
-0.09224881,10.930528,9.899986,9.295877,10.345546,9.498748,10.487731,9.564837,9.384308,9.560349,10.133294,10.200542,9.450954,9.895154,10.229994,7.834666,6.48046,6.072278,4.5460424,8.225679,10.538908,10.870226,10.022127,5.130059,4.5581703
-0.09564237,10.90986,9.90011,9.29712,10.345164,9.499809,10.488058,9.564841,9.384008,9.560362,10.260055,10.196237,9.443077,9.8838215,10.229736,7.8455644,6.2163067,6.0744033,4.0757027,8.265945,10.149075,10.735007,10.017179,5.220295,4.4354253
-0.10059817,10.923643,9.899814,9.295228,10.345531,9.499769,10.488015,9.564846,9.384064,9.560354,10.195918,10.195492,9.444969,9.888503,10.228311,7.9057593,6.5843725,6.105839,4.1408906,8.268555,10.267428,10.711623,10.029655,4.968089,4.455429
-0.10615866,10.898029,9.899973,9.29617,10.345143,9.500613,10.488229,9.564849,9.383951,9.560368,10.318289,10.200461,9.435932,9.897494,10.227195,7.9032755,6.3374147,6.111343,3.838451,8.180094,10.014455,10.573002,10.027184,5.094508,4.3382425
-0.111402676,10.915403,9.899657,9.293806,10.34551,9.500495,10.488224,9.564851,9.38394,9.560358,10.273733,10.201189,9.438048,9.889997,10.225548,7.964931,6.6983604,6.1304574,3.8630438,8.18025,10.104437,10.548475,10.03866,4.8522296,4.348842
-0.115764394,10.886253,9.899859,9.294431,10.345113,9.501188,10.488349,9.564853,9.383944,9.560371,10.291868,10.207016,9.427761,9.898372,10.223823,7.953095,6.4604206,6.1338005,3.6656067,7.873441,10.002218,10.415199,10.038019,5.022379,4.256744
-0.119112745,10.906719,9.899518,9.291795,10.34548,9.501022,10.48837,9.564854,9.383896,9.560362,10.293119,10.207109,9.429952,9.890557,10.222143,8.01588,6.8402796,6.1507063,3.6630628,7.8612647,10.050592,10.403835,10.048584,4.794606,4.2541356
-0.12163497,10.875083,9.899471,9.29199,10.345071,9.501607,10.488426,9.564855,9.383965,9.560375,10.177885,10.212984,9.418392,9.898477,10.22023,7.997644,6.6005554,6.140576,3.5275192,7.464973,10.041491,10.299832,10.049259,4.3961267,4.1917477
-0.12365946,10.898139,9.899695,9.289211,10.345439,9.5014105,10.488461,9.564855,9.3839035,9.560364,10.210009,10.212248,9.420448,9.890248,10.218648,8.061116,7.029482,6.164748,3.5071692,7.448168,10.05879,10.284087,10.059101,4.453622,4.176853
,10.864776,9.899665,9.288798,10.345769,9.501919,10.488468,9.564855,9.384001,9.560377,10.02981,10.217605,9.407756,9.897846,10.217061,8.038901,6.7804794,6.129645,3.4062507,6.998615,10.080351,10.147621,10.060667,4.0479283,4.1322327
,10.889955,9.899855,9.285951,10.345384,9.501703,10.488504,9.564856,9.38394,9.560367,10.065258,10.2160225,9.409424,9.889077,10.215628,8.102497,6.396635,6.1589365,3.3731527,6.875841,10.080062,10.087471,10.070076,4.1572976,4.1073213
,10.855396,9.900032,9.28469,10.345729,9.502158,10.488571,9.564853,9.38385,9.560379,9.905298,10.220619,9.396035,9.896432,10.214855,8.078405,6.517068,6.104339,3.293064,7.2810497,10.097786,9.966202,10.072193,3.7189398,4.068643
,10.882287,9.899695,9.281793,10.345342,9.501932,10.48845,9.564855,9.3839245,9.560369,9.932783,10.218242,9.397072,9.887012,10.213569,8.1414175,6.213046,6.1266756,3.2510352,7.1246867,10.089764,9.899646,10.081551,3.883835,4.035238
,10.846896,9.899664,9.279389,10.345696,9.502347,10.4884405,9.564852,9.38385,9.56038,10.05851,10.222041,9.410782,9.894115,10.213966,8.117316,6.3148556,6.0735145,3.1857305,7.508684,10.094845,9.973288,10.083964,3.4208753,3.995862
,10.875147,9.8998575,9.276391,10.345309,9.502115,10.48836,9.564853,9.383917,9.5603695,9.994885,10.218914,9.409868,9.884009,10.212814,8.066537,6.040326,6.079473,3.1391933,7.3489237,10.084446,10.041617,10.093732,3.6291673,3.9544592
,10.839161,9.899849,9.272504,10.345675,9.502503,10.488275,9.564847,9.383863,9.560381,10.144541,10.221953,9.422898,9.890725,10.214468,8.130312,6.1331778,6.044297,3.078926,7.714966,10.08008,10.210043,10.0962925,3.173336,3.9121652
,10.868472,9.90001,9.269264,10.345286,9.502271,10.488243,9.56485,9.383913,9.5603695,10.08643,10.218088,9.421839,9.880077,10.213478,8.052473,5.8810024,6.0325437,3.0161498,7.54226,10.063691,10.278609,10.107028,3.3973618,3.8628185
,10.832041,9.900142,9.263548,10.345662,9.502637,10.488076,9.564842,9.383881,9.560382,10.226669,10.220401,9.433611,9.886103,10.216113,8.110952,5.965438,6.0180483,2.9744005,7.883233,10.058717,10.508513,10.091147,2.985287,3.8188572
,10.862156,9.8998375,9.261453,10.345273,9.50241,10.488099,9.564847,9.383917,9.56037,10.191303,10.215805,9.43261,9.8753805,10.215353,8.015592,5.743704,5.9920506,2.927608,7.696479,10.000528,10.579378,10.071217,3.1957889,3.7620928
,10.825365,9.900007,9.264492,10.345656,9.502759,10.487853,9.564835,9.3839035,9.560382,10.26961,10.217392,9.442869,9.880283,10.218411,8.067445,5.817445,5.991818,2.897964,8.002804,10.017912,10.813331,10.060894,2.8533456,3.720313
,10.856063,9.899684,9.261748,10.345269,9.50254,10.487932,9.564843,9.383923,9.5603695,10.274404,10.212133,9.442079,9.870318,10.217952,7.9649053,5.631756,5.9556003,2.8625164,7.8046136,9.808205,10.867834,10.0447,2.5564535,3.6577516
