Mean episodic reward
9.6
500.0
478.6
500.0
500.0
493.0
500.0
345.8
489.2
500.0
500.0
298.5
154.4
87.1
327.5
402.4
489.7
500.0
500.0
500.0
411.7
39.3
466.5
420.3
432.6
